,日経平均,,NYダウ,,欧州（ストックス600）,,中国（上海総合）,,VIX指数（米国株の予想変動率）,,ドル/円,,ユーロ/円,,ドル/元,,日本,,米国,,原油（WTI）,,金（米先物）
↓,314.9699999999975,↑,550.989999999998,↑,7.170000000000016,↑,12.955500000000029,↓,0.6500000000000021,↓円安,0.28999999999999204,↓円安,1.9899999999999807,↓元安,0.0051000000000005485,→,0.0,↑,0.052000000000000046,↑,0.12000000000000455,↑,5.2999999999999545
2022/10/17,26775.79,2022/10/17,30185.82,2022/10/17,398.48,2022/10/17,3084.9423,2022/10/17,31.37,2022/10/17,149.03,2022/10/17,146.64,2022/10/17,7.1946,2022/10/17,0.25,2022/10/14,4.006,2022/10/17,85.67,2022/10/17,1655.5
2022/10/14,27090.76,2022/10/14,29634.83,2022/10/14,391.31,2022/10/14,3071.9868,2022/10/14,32.02,2022/10/14,148.74,2022/10/14,144.65,2022/10/14,7.1895,2022/10/14,0.25,2022/10/13,3.954,2022/10/14,85.55,2022/10/14,1650.2
2022/10/13,26237.42,2022/10/13,30038.72,2022/10/13,389.15,2022/10/13,3016.3561,2022/10/13,31.94,2022/10/13,147.22,2022/10/13,143.95,2022/10/13,7.17,2022/10/13,0.25,2022/10/12,3.902,2022/10/13,89.23,2022/10/13,1672.9
2022/10/12,26396.83,2022/10/12,29210.85,2022/10/12,385.88,2022/10/12,3025.5055,2022/10/12,33.57,2022/10/12,146.91,2022/10/12,142.54,2022/10/12,7.172,2022/10/12,0.25,2022/10/11,3.939,2022/10/12,87.1,2022/10/12,1680.1
2022/10/11,26401.25,2022/10/11,29239.19,2022/10/11,387.95,2022/10/11,2979.7926,2022/10/11,33.63,2022/10/11,145.86,2022/10/11,141.58,2022/10/11,7.1639,2022/10/11,0.25,2022/10/07,3.885,2022/10/11,88.59,2022/10/11,1673.2
2022/10/07,27116.11,2022/10/10,29202.88,2022/10/10,390.12,2022/10/10,2974.1454,2022/10/10,32.45,2022/10/10,145.68,2022/10/10,141.39,2022/10/10,7.1533,2022/10/07,0.25,2022/10/06,3.824,2022/10/10,90.82,2022/10/10,1675.7
2022/10/06,27311.3,2022/10/07,29296.79,2022/10/07,391.67,2022/09/30,3024.3905,2022/10/07,31.36,2022/10/07,145.33,2022/10/07,141.62,2022/10/07,7.1135,2022/10/06,0.25,2022/10/05,3.759,2022/10/07,93.2,2022/10/07,1701.8
2022/10/05,27120.53,2022/10/06,29926.94,2022/10/06,396.35,2022/09/29,3041.2046,2022/10/06,30.52,2022/10/06,145.12,2022/10/06,142.11,2022/10/06,7.1135,2022/10/05,0.245,2022/10/04,3.617,2022/10/06,88.96,2022/10/06,1720.9
2022/10/04,26992.21,2022/10/05,30273.87,2022/10/05,398.91,2022/09/28,3045.0668,2022/10/05,28.55,2022/10/05,144.63,2022/10/05,143.0,2022/10/05,7.1135,2022/10/04,0.23,2022/10/03,3.651,2022/10/05,88.03,2022/10/05,1725.0
2022/10/03,26215.79,2022/10/04,30316.32,2022/10/04,403.03,2022/09/27,3093.8618,2022/10/04,29.07,2022/10/04,144.09,2022/10/04,143.91,2022/10/04,7.1135,2022/10/03,0.241,2022/09/30,3.804,2022/10/04,86.37,2022/10/04,1734.7
2022/09/30,25937.21,2022/10/03,29490.89,2022/10/03,390.83,2022/09/26,3051.226,2022/10/03,30.1,2022/10/03,144.53,2022/10/03,142.0,2022/10/03,7.1135,2022/09/30,0.246,2022/09/29,3.747,2022/10/03,83.34,2022/10/03,1708.6
2022/09/29,26422.05,2022/09/30,28725.51,2022/09/30,387.85,2022/09/23,3088.3695,2022/09/30,31.62,2022/09/30,144.75,2022/09/30,141.86,2022/09/30,7.1135,2022/09/29,0.25,2022/09/28,3.707,2022/09/30,79.74,2022/09/30,1668.3
2022/09/28,26173.98,2022/09/29,29225.61,2022/09/29,382.89,2022/09/22,3108.9096,2022/09/29,31.84,2022/09/29,144.45,2022/09/29,141.74,2022/09/29,7.1196,2022/09/28,0.25,2022/09/27,3.963,2022/09/29,81.61,2022/09/29,1668.8
2022/09/27,26571.87,2022/09/28,29683.74,2022/09/28,389.41,2022/09/21,3117.1774,2022/09/28,30.18,2022/09/28,144.16,2022/09/28,140.32,2022/09/28,7.199,2022/09/27,0.251,2022/09/26,3.88,2022/09/28,81.88,2022/09/28,1668.5
2022/09/26,26431.55,2022/09/27,29134.99,2022/09/27,388.24,2022/09/20,3122.4058,2022/09/27,32.6,2022/09/27,144.76,2022/09/27,138.91,2022/09/27,7.176,2022/09/26,0.251,2022/09/23,3.697,2022/09/27,77.96,2022/09/27,1636.5
2022/09/22,27153.83,2022/09/26,29260.81,2022/09/26,388.75,2022/09/19,3115.6019,2022/09/26,32.26,2022/09/26,144.75,2022/09/26,139.07,2022/09/26,7.1311,2022/09/22,0.236,2022/09/22,3.708,2022/09/26,76.34,2022/09/26,1629.3
2022/09/21,27313.13,2022/09/23,29590.41,2022/09/23,390.4,2022/09/16,3126.3977,2022/09/23,29.92,2022/09/23,143.32,2022/09/23,138.95,2022/09/23,7.1266,2022/09/21,0.255,2022/09/21,3.512,2022/09/23,79.43,2022/09/23,1651.7
2022/09/20,27688.42,2022/09/22,30076.68,2022/09/22,399.76,2022/09/15,3199.9187,2022/09/22,27.35,2022/09/22,142.35,2022/09/22,140.0,2022/09/22,7.0772,2022/09/20,0.255,2022/09/20,3.573,2022/09/22,83.5,2022/09/22,1679.4
2022/09/16,27567.65,2022/09/21,30183.78,2022/09/21,407.05,2022/09/14,3237.5419,2022/09/21,27.99,2022/09/21,144.04,2022/09/21,141.73,2022/09/21,7.0479,2022/09/16,0.255,2022/09/19,3.489,2022/09/21,83.05,2022/09/21,1682.2
2022/09/15,27875.91,2022/09/20,30706.23,2022/09/20,403.42,2022/09/13,3263.7972,2022/09/20,27.16,2022/09/20,143.72,2022/09/20,143.28,2022/09/20,7.0176,2022/09/15,0.254,2022/09/16,3.447,2022/09/20,84.19,2022/09/20,1673.2
2022/09/14,27818.62,2022/09/19,31019.68,2022/09/19,407.87,2022/09/09,3262.0542,2022/09/19,25.76,2022/09/19,143.2,2022/09/19,143.52,2022/09/19,7.005,2022/09/14,0.25,2022/09/15,3.459,2022/09/19,85.33,2022/09/19,1685.0
2022/09/13,28614.63,2022/09/16,30822.42,2022/09/16,408.24,2022/09/08,3235.5862,2022/09/16,26.3,2022/09/16,142.91,2022/09/16,143.13,2022/09/16,6.9799,2022/09/13,0.246,2022/09/14,3.412,2022/09/16,85.4,2022/09/16,1684.5
2022/09/12,28542.11,2022/09/15,30961.82,2022/09/15,414.78,2022/09/07,3246.2943,2022/09/15,26.27,2022/09/15,143.52,2022/09/15,143.48,2022/09/15,6.9934,2022/09/12,0.245,2022/09/13,3.423,2022/09/15,85.11,2022/09/15,1673.9
2022/09/09,28214.75,2022/09/14,31135.09,2022/09/14,417.51,2022/09/06,3243.4466,2022/09/14,26.16,2022/09/14,143.15,2022/09/14,142.87,2022/09/14,6.9612,2022/09/09,0.25,2022/09/12,3.362,2022/09/14,88.98,2022/09/14,1707.0
2022/09/08,28065.28,2022/09/13,31104.97,2022/09/13,421.13,2022/09/05,3199.9118,2022/09/13,27.27,2022/09/13,144.55,2022/09/13,144.08,2022/09/13,6.9245,2022/09/08,0.245,2022/09/09,3.321,2022/09/13,87.64,2022/09/13,1712.2
2022/09/07,27430.3,2022/09/12,32381.34,2022/09/12,427.75,2022/09/02,3186.4781,2022/09/12,23.87,2022/09/12,142.83,2022/09/12,144.58,2022/09/12,6.924,2022/09/07,0.246,2022/09/08,3.292,2022/09/12,88.04,2022/09/12,1735.4
2022/09/06,27626.51,2022/09/09,32151.71,2022/09/09,420.37,2022/09/01,3184.9797,2022/09/09,22.79,2022/09/09,142.52,2022/09/09,143.23,2022/09/09,6.924,2022/09/06,0.24,2022/09/07,3.265,2022/09/09,86.1,2022/09/09,1727.6
2022/09/05,27619.61,2022/09/08,31774.52,2022/09/08,414.09,2022/08/31,3202.1378,2022/09/08,23.61,2022/09/08,144.09,2022/09/08,144.06,2022/09/08,6.9562,2022/09/05,0.23,2022/09/06,3.34,2022/09/08,82.73,2022/09/08,1719.4
