,日経平均,,NYダウ,,欧州（ストックス600）,,中国（上海総合）,,VIX指数（米国株の予想変動率）,,ドル/円,,ユーロ/円,,ドル/元,,日本,,米国,,原油（WTI）,,金（米先物）
↓,131.67000000000553,↓,31.080000000001746,↓,0.17000000000007276,↓,27.483500000000276,↓,0.11000000000000121,↑円高,0.020000000000010232,↑円高,0.1699999999999875,↓元安,0.000300000000000189,↑,0.006999999999999895,↑,0.00730000000000075,↓,1.2199999999999989,↓,33.40000000000009
2024/07/08,40780.7,2024/07/08,39344.79,2024/07/08,516.43,2024/07/08,2922.4498,2024/07/08,12.37,2024/07/08,160.79,2024/07/08,174.05,2024/07/08,7.2683,2024/07/08,1.093,2024/07/08,4.2803,2024/07/08,82.22,2024/07/08,2366.4
2024/07/05,40912.37,2024/07/05,39375.87,2024/07/05,516.6,2024/07/05,2949.9333,2024/07/05,12.48,2024/07/08,160.81,2024/07/05,174.22,2024/07/05,7.268,2024/07/08,1.086,2024/07/05,4.273,2024/07/05,83.44,2024/07/05,2399.8
2024/07/04,40913.65,2024/07/03,39308.0,2024/07/04,517.54,2024/07/04,2957.567,2024/07/04,12.26,2024/07/05,160.72,2024/07/04,174.34,2024/07/04,7.2668,2024/07/05,1.071,2024/07/03,4.347,2024/07/03,83.6,2024/07/03,2365.4
2024/07/03,40580.76,2024/07/02,39331.85,2024/07/03,514.67,2024/07/03,2982.3756,2024/07/03,12.09,2024/07/04,161.25,2024/07/03,174.42,2024/07/03,7.2699,2024/07/04,1.084,2024/07/02,4.436,2024/07/02,83.17,2024/07/02,2338.6
2024/07/02,40074.69,2024/07/01,39169.52,2024/07/02,510.91,2024/07/02,2997.0111,2024/07/02,12.03,2024/07/03,161.68,2024/07/02,173.45,2024/07/02,7.2712,2024/07/03,1.1,2024/07/01,4.479,2024/07/01,83.38,2024/07/01,2341.9
2024/07/01,39631.06,2024/06/28,39118.86,2024/07/01,513.04,2024/07/01,2994.7303,2024/07/01,12.22,2024/07/02,161.44,2024/07/01,173.39,2024/07/01,7.2683,2024/07/02,1.085,2024/06/28,4.343,2024/06/28,81.46,2024/06/28,2336.9
2024/06/28,39583.08,2024/06/27,39164.06,2024/06/28,511.42,2024/06/28,2967.4028,2024/06/28,12.44,2024/07/01,161.45,2024/06/28,172.36,2024/06/28,7.2672,2024/07/01,1.061,2024/06/27,4.288,2024/06/27,81.81,2024/06/27,2338.7
2024/06/27,39341.54,2024/06/26,39127.8,2024/06/27,512.59,2024/06/27,2945.8524,2024/06/27,12.24,2024/06/28,160.83,2024/06/27,172.06,2024/06/27,7.2688,2024/06/28,1.046,2024/06/26,4.316,2024/06/26,80.88,2024/06/26,2309.8
2024/06/26,39667.07,2024/06/25,39112.16,2024/06/26,514.81,2024/06/26,2972.5251,2024/06/26,12.55,2024/06/27,160.74,2024/06/26,171.72,2024/06/26,7.2666,2024/06/27,1.075,2024/06/25,4.238,2024/06/25,80.78,2024/06/25,2331.7
