,日経平均,,NYダウ,,欧州（ストックス600）,,中国（上海総合）,,VIX指数（米国株の予想変動率）,,ドル/円,,ユーロ/円,,ドル/元,,日本,,米国,,原油（WTI）,,金（米先物）
↑,732.4199999999983,↓,173.1800000000003,↓,2.009999999999991,↑,248.9688000000001,↑,2.530000000000001,↓円安,0.009999999999990905,↑円高,1.039999999999992,→,0.0,↓,0.016000000000000014,↓,0.07050000000000001,↑,2.469999999999999,↑,28.40000000000009
2024/10/01,38651.97,2024/10/01,42156.97,2024/10/01,520.88,2024/09/30,3336.4974,2024/10/01,19.26,2024/10/01,143.57,2024/10/01,158.88,2024/10/01,7.0176,2024/10/01,0.839,2024/10/01,3.7315,2024/10/01,70.76,2024/10/01,2684.8
2024/09/30,37919.55,2024/09/30,42330.15,2024/09/30,522.89,2024/09/27,3087.5286,2024/09/30,16.73,2024/10/01,143.56,2024/09/30,159.92,2024/09/30,7.0176,2024/10/01,0.855,2024/09/30,3.802,2024/09/30,68.29,2024/09/30,2656.4
2024/09/27,39829.56,2024/09/27,42313.0,2024/09/27,528.08,2024/09/26,3000.9526,2024/09/27,16.96,2024/09/30,143.62,2024/09/27,158.72,2024/09/27,7.011,2024/09/30,0.855,2024/09/27,3.749,2024/09/27,68.64,2024/09/27,2680.8
2024/09/26,38925.63,2024/09/26,42175.11,2024/09/26,525.61,2024/09/25,2896.3057,2024/09/26,15.37,2024/09/27,142.19,2024/09/26,161.83,2024/09/26,7.0106,2024/09/27,0.806,2024/09/26,3.789,2024/09/26,67.46,2024/09/26,2695.1
2024/09/25,37870.26,2024/09/25,41914.75,2024/09/25,519.14,2024/09/24,2863.1255,2024/09/25,15.41,2024/09/26,144.8,2024/09/25,161.14,2024/09/25,7.0315,2024/09/26,0.831,2024/09/25,3.781,2024/09/25,69.84,2024/09/25,2681.3
2024/09/24,37940.59,2024/09/24,42208.22,2024/09/24,519.7,2024/09/23,2748.9177,2024/09/24,15.39,2024/09/25,144.75,2024/09/24,160.11,2024/09/24,7.0318,2024/09/25,0.811,2024/09/24,3.736,2024/09/24,71.54,2024/09/24,2682.1
2024/09/20,37723.91,2024/09/23,42124.65,2024/09/23,516.32,2024/09/20,2736.8139,2024/09/23,15.89,2024/09/24,143.21,2024/09/23,159.54,2024/09/23,7.0508,2024/09/24,0.81,2024/09/23,3.738,2024/09/23,70.73,2024/09/23,2653.4
2024/09/19,37155.33,2024/09/20,42063.36,2024/09/20,514.26,2024/09/19,2736.0222,2024/09/20,16.15,2024/09/23,143.6,2024/09/20,160.63,2024/09/20,7.0505,2024/09/20,0.866,2024/09/20,3.728,2024/09/20,71.77,2024/09/20,2647.1
2024/09/18,36380.17,2024/09/19,42025.19,2024/09/19,521.67,2024/09/18,2717.2813,2024/09/19,16.33,2024/09/20,143.91,2024/09/19,159.19,2024/09/19,7.0675,2024/09/19,0.855,2024/09/19,3.74,2024/09/19,72.07,2024/09/19,2611.7
