,日経平均,,NYダウ,,欧州（ストックス600）,,中国（上海総合）,,VIX指数（米国株の予想変動率）,,ドル/円,,ユーロ/円,,ドル/元,,日本,,米国,,原油（WTI）,,金（米先物）
↓,100.90999999999985,↑,38.78000000000611,↑,1.9600000000000364,↓,12.790599999999813,↓,0.6400000000000006,↓円安,0.9799999999999898,↓円安,0.4800000000000182,↓元安,0.025500000000000078,↓,0.0010000000000000009,↑,0.040000000000000036,↓,0.2400000000000091,↓,16.200000000000045
2023/02/15,27501.86,2023/02/15,34128.05,2023/02/15,464.36,2023/02/15,3280.4919,2023/02/15,18.27,2023/02/15,134.09,2023/02/15,143.37,2023/02/15,6.851,2023/02/15,0.5,2023/02/15,3.801,2023/02/15,78.6,2023/02/15,1848.6
2023/02/14,27602.77,2023/02/14,34089.27,2023/02/14,462.4,2023/02/14,3293.2825,2023/02/14,18.91,2023/02/14,133.11,2023/02/14,142.89,2023/02/14,6.8255,2023/02/15,0.501,2023/02/14,3.761,2023/02/14,78.84,2023/02/14,1864.8
2023/02/13,27427.32,2023/02/13,34245.93,2023/02/13,462.03,2023/02/13,3284.1599,2023/02/13,20.34,2023/02/13,132.4,2023/02/13,141.98,2023/02/13,6.8215,2023/02/14,0.5,2023/02/13,3.719,2023/02/13,79.16,2023/02/13,1864.3
2023/02/10,27670.98,2023/02/10,33869.27,2023/02/10,457.89,2023/02/10,3260.6734,2023/02/10,20.53,2023/02/10,131.41,2023/02/10,140.27,2023/02/10,6.807,2023/02/13,0.5,2023/02/10,3.743,2023/02/10,79.76,2023/02/10,1876.4
2023/02/09,27584.35,2023/02/09,33699.88,2023/02/09,462.31,2023/02/09,3270.3826,2023/02/09,20.71,2023/02/09,131.56,2023/02/09,141.27,2023/02/09,6.7782,2023/02/10,0.496,2023/02/09,3.683,2023/02/09,77.66,2023/02/09,1873.4
2023/02/08,27606.46,2023/02/08,33949.01,2023/02/08,459.46,2023/02/08,3232.1063,2023/02/08,19.63,2023/02/08,131.37,2023/02/08,140.79,2023/02/08,6.7872,2023/02/09,0.493,2023/02/08,3.653,2023/02/08,78.48,2023/02/08,1888.2
2023/02/07,27685.47,2023/02/07,34156.69,2023/02/07,458.19,2023/02/07,3248.094,2023/02/07,18.66,2023/02/07,131.05,2023/02/07,140.62,2023/02/07,6.791,2023/02/08,0.491,2023/02/07,3.674,2023/02/07,77.59,2023/02/07,1885.1
2023/02/06,27693.65,2023/02/06,33891.02,2023/02/06,457.16,2023/02/06,3238.6978,2023/02/06,19.43,2023/02/06,132.65,2023/02/06,142.24,2023/02/06,6.7918,2023/02/07,0.495,2023/02/06,3.632,2023/02/06,74.46,2023/02/06,1880.2
2023/02/03,27509.46,2023/02/03,33926.01,2023/02/03,460.77,2023/02/03,3263.4059,2023/02/03,18.33,2023/02/03,131.17,2023/02/03,141.59,2023/02/03,6.7733,2023/02/06,0.495,2023/02/03,3.532,2023/02/03,73.23,2023/02/03,1877.7
