,日経平均,,NYダウ,,欧州（ストックス600）,,中国（上海総合）,,VIX指数（米国株の予想変動率）,,ドル/円,,ユーロ/円,,ドル/元,,日本,,米国,,原油（WTI）,,金（米先物）
↑,33.470000000001164,↓,150.2699999999968,↑,1.349999999999966,↑,7.621599999999944,↑,1.1800000000000015,↑円高,0.789999999999992,↓円安,0.010000000000019327,↓元安,0.0055000000000005045,↑,0.0040000000000000036,↓,0.14719999999999978,↑,0.9099999999999966,↑,8.900000000000091
2023/08/04,32192.75,2023/08/04,35065.62,2023/08/04,459.28,2023/08/04,3288.0842,2023/08/04,17.1,2023/08/04,141.75,2023/08/04,156.05,2023/08/04,7.1706,2023/08/04,0.647,2023/08/04,4.0418,2023/08/04,82.64,2023/08/04,1978.2
2023/08/03,32159.28,2023/08/03,35215.89,2023/08/03,457.93,2023/08/03,3280.4626,2023/08/03,15.92,2023/08/03,142.54,2023/08/03,156.04,2023/08/03,7.1651,2023/08/04,0.643,2023/08/03,4.189,2023/08/03,81.73,2023/08/03,1969.3
2023/08/02,32707.69,2023/08/02,35282.52,2023/08/02,460.84,2023/08/02,3261.6903,2023/08/02,16.09,2023/08/02,143.32,2023/08/02,156.76,2023/08/02,7.1911,2023/08/03,0.652,2023/08/02,4.078,2023/08/02,79.75,2023/08/02,1970.8
2023/08/01,33476.58,2023/08/01,35630.68,2023/08/01,467.16,2023/08/01,3290.9493,2023/08/01,13.93,2023/08/01,143.32,2023/08/01,157.42,2023/08/01,7.1775,2023/08/02,0.627,2023/08/01,4.047,2023/08/01,82.17,2023/08/01,1981.6
2023/07/31,33172.22,2023/07/31,35559.53,2023/07/31,471.35,2023/07/31,3291.0398,2023/07/31,13.63,2023/07/31,142.28,2023/07/31,156.45,2023/07/31,7.1426,2023/08/01,0.596,2023/07/31,3.957,2023/07/31,81.76,2023/07/31,2003.7
2023/07/28,32759.23,2023/07/28,35459.29,2023/07/28,470.78,2023/07/28,3275.9257,2023/07/28,13.33,2023/07/28,141.15,2023/07/28,155.48,2023/07/28,7.1488,2023/07/31,0.604,2023/07/28,3.969,2023/07/28,80.67,2023/07/28,1958.8
2023/07/27,32891.16,2023/07/27,35282.72,2023/07/27,471.74,2023/07/27,3216.6709,2023/07/27,14.41,2023/07/27,139.44,2023/07/27,153.1,2023/07/27,7.173,2023/07/28,0.556,2023/07/27,4.012,2023/07/27,79.82,2023/07/27,1946.3
2023/07/26,32668.34,2023/07/26,35520.12,2023/07/26,465.46,2023/07/26,3223.0279,2023/07/26,13.19,2023/07/26,140.21,2023/07/26,155.45,2023/07/26,7.1503,2023/07/27,0.441,2023/07/26,3.851,2023/07/26,78.92,2023/07/26,1973.4
2023/07/25,32682.51,2023/07/25,35438.07,2023/07/25,467.92,2023/07/25,3231.5213,2023/07/25,13.86,2023/07/25,140.9,2023/07/25,155.76,2023/07/25,7.134,2023/07/26,0.449,2023/07/25,3.912,2023/07/25,79.32,2023/07/25,1966.6
