,日経平均,,NYダウ,,欧州（ストックス600）,,中国（上海総合）,,VIX指数（米国株の予想変動率）,,ドル/円,,ユーロ/円,,ドル/元,,日本,,米国,,原油（WTI）,,金（米先物）
↑,51.81999999999971,↑,159.36000000000058,↑,0.660000000000025,↓,19.933899999999994,↓,0.03999999999999915,↓円安,0.06999999999999318,↓円安,0.4200000000000159,↓元安,0.007100000000000328,↑,0.018000000000000016,↓,0.015000000000000124,↑,1.690000000000012,↑,14.099999999999909
2023/12/26,33305.85,2023/12/26,37545.33,2023/12/22,477.6,2023/12/26,2898.8787,2023/12/26,12.99,2023/12/26,142.41,2023/12/26,157.27,2023/12/26,7.1432,2023/12/26,0.633,2023/12/26,3.893,2023/12/26,75.18,2023/12/26,2078.6
2023/12/25,33254.03,2023/12/22,37385.97,2023/12/21,476.94,2023/12/25,2918.8126,2023/12/22,13.03,2023/12/25,142.34,2023/12/25,156.85,2023/12/25,7.1361,2023/12/25,0.615,2023/12/22,3.908,2023/12/22,73.49,2023/12/22,2064.5
2023/12/22,33169.05,2023/12/21,37404.35,2023/12/20,477.94,2023/12/22,2914.7752,2023/12/21,13.65,2023/12/22,142.41,2023/12/22,156.83,2023/12/22,7.1315,2023/12/22,0.625,2023/12/21,3.894,2023/12/21,73.93,2023/12/21,2057.8
2023/12/21,33140.47,2023/12/20,37082.0,2023/12/19,477.04,2023/12/21,2918.7149,2023/12/20,13.67,2023/12/21,142.1,2023/12/21,156.43,2023/12/21,7.1381,2023/12/21,0.581,2023/12/20,3.877,2023/12/20,73.82,2023/12/20,2044.4
2023/12/20,33675.94,2023/12/19,37557.92,2023/12/18,475.32,2023/12/20,2902.1096,2023/12/19,12.53,2023/12/20,143.56,2023/12/20,157.07,2023/12/20,7.1355,2023/12/20,0.554,2023/12/19,3.922,2023/12/19,73.58,2023/12/19,2053.8
2023/12/19,33219.39,2023/12/18,37306.02,2023/12/15,476.61,2023/12/19,2932.3908,2023/12/18,12.56,2023/12/19,143.82,2023/12/19,157.92,2023/12/19,7.1287,2023/12/19,0.64,2023/12/18,3.956,2023/12/18,72.56,2023/12/18,2041.2
2023/12/18,32758.98,2023/12/15,37305.16,2023/12/14,476.57,2023/12/18,2930.8036,2023/12/15,12.28,2023/12/18,142.74,2023/12/18,155.95,2023/12/18,7.1335,2023/12/18,0.67,2023/12/15,3.928,2023/12/15,71.79,2023/12/15,2033.8
2023/12/15,32970.55,2023/12/14,37248.35,2023/12/13,472.46,2023/12/15,2942.5568,2023/12/14,12.48,2023/12/15,142.15,2023/12/15,154.88,2023/12/15,7.1179,2023/12/15,0.711,2023/12/14,3.93,2023/12/14,71.65,2023/12/14,2051.3
2023/12/14,32686.25,2023/12/13,37090.24,2023/12/12,472.72,2023/12/14,2958.9856,2023/12/13,12.19,2023/12/14,141.87,2023/12/14,155.98,2023/12/14,7.1088,2023/12/14,0.676,2023/12/13,4.033,2023/12/13,69.87,2023/12/13,2043.1
2023/12/13,32926.35,2023/12/12,36577.94,2023/12/11,473.7,2023/12/13,2968.7606,2023/12/12,12.07,2023/12/13,142.88,2023/12/13,155.38,2023/12/13,7.1725,2023/12/13,0.69,2023/12/12,4.206,2023/12/12,68.76,2023/12/12,1995.0
2023/12/12,32843.7,2023/12/11,36404.93,2023/12/08,472.26,2023/12/12,3003.4378,2023/12/11,12.63,2023/12/12,145.43,2023/12/12,156.98,2023/12/12,7.1755,2023/12/12,0.735,2023/12/11,4.239,2023/12/11,71.4,2023/12/11,1997.6
2023/12/11,32791.8,2023/12/08,36247.87,2023/12/07,468.78,2023/12/11,2991.4385,2023/12/08,12.35,2023/12/11,146.16,2023/12/11,157.31,2023/12/11,7.1755,2023/12/11,0.776,2023/12/08,4.245,2023/12/08,71.26,2023/12/08,2020.8
2023/12/08,32307.86,2023/12/07,36117.38,2023/12/06,470.06,2023/12/08,2969.5594,2023/12/07,13.06,2023/12/08,144.93,2023/12/08,156.02,2023/12/08,7.1645,2023/12/08,0.772,2023/12/07,4.129,2023/12/07,69.64,2023/12/07,2045.3
