,日経平均,,NYダウ,,欧州（ストックス600）,,中国（上海総合）,,VIX指数（米国株の予想変動率）,,ドル/円,,ユーロ/円,,ドル/元,,日本,,米国,,原油（WTI）,,金（米先物）
↑,189.97999999999956,↑,65.56999999999971,↑,0.6800000000000068,↑,3.719499999999698,↓,0.9400000000000013,↑円高,0.05000000000001137,↑円高,0.06999999999999318,↓元安,0.004399999999999515,↓,0.014000000000000012,↓,0.0968,↓,2.6699999999999875,↑,14.100000000000136
2023/10/11,31936.51,2023/10/11,33804.87,2023/10/11,453.16,2023/10/11,3078.9556,2023/10/11,16.09,2023/10/11,149.1,2023/10/11,158.32,2023/10/11,7.2992,2023/10/11,0.76,2023/10/11,4.5582,2023/10/11,83.29,2023/10/11,1887.9
2023/10/10,31746.53,2023/10/10,33739.3,2023/10/10,452.48,2023/10/10,3075.2361,2023/10/10,17.03,2023/10/11,149.15,2023/10/11,158.39,2023/10/10,7.2948,2023/10/11,0.774,2023/10/10,4.655,2023/10/10,85.96,2023/10/10,1873.8
2023/10/06,30994.67,2023/10/09,33604.65,2023/10/09,443.79,2023/10/09,3096.9224,2023/10/09,17.7,2023/10/10,148.7,2023/10/10,157.71,2023/10/09,7.2911,2023/10/10,0.776,2023/10/06,4.782,2023/10/09,86.38,2023/10/09,1875.0
2023/10/05,31075.36,2023/10/06,33407.58,2023/10/06,444.93,2023/09/28,3110.4753,2023/10/06,17.45,2023/10/09,148.5,2023/10/09,156.92,2023/10/06,7.301,2023/10/06,0.8,2023/10/05,4.716,2023/10/06,82.81,2023/10/06,1847.0
2023/10/04,30526.88,2023/10/05,33119.57,2023/10/05,441.31,2023/09/27,3107.3156,2023/10/05,18.49,2023/10/06,149.32,2023/10/06,158.04,2023/10/05,7.301,2023/10/05,0.805,2023/10/04,4.735,2023/10/05,82.56,2023/10/05,1834.3
2023/10/03,31237.94,2023/10/04,33129.55,2023/10/04,440.08,2023/09/26,3102.2726,2023/10/04,18.58,2023/10/05,148.5,2023/10/05,156.66,2023/10/04,7.301,2023/10/04,0.806,2023/10/03,4.802,2023/10/04,84.44,2023/10/04,1836.7
2023/10/02,31759.88,2023/10/03,33002.38,2023/10/03,440.7,2023/09/25,3115.6071,2023/10/03,19.78,2023/10/04,149.12,2023/10/04,156.62,2023/10/03,7.301,2023/10/03,0.762,2023/10/02,4.683,2023/10/03,89.45,2023/10/03,1838.9
2023/09/29,31857.62,2023/10/02,33433.35,2023/10/02,445.59,2023/09/22,3132.4316,2023/10/02,17.61,2023/10/03,149.02,2023/10/03,155.93,2023/10/02,7.301,2023/10/02,0.777,2023/09/29,4.571,2023/10/02,88.62,2023/10/02,1844.1
2023/09/28,31872.52,2023/09/29,33507.5,2023/09/29,450.22,2023/09/21,3084.701,2023/09/29,17.52,2023/10/02,149.85,2023/10/02,157.0,2023/09/29,7.301,2023/09/29,0.771,2023/09/28,4.597,2023/09/29,90.77,2023/09/29,1864.6
2023/09/27,32371.9,2023/09/28,33666.34,2023/09/28,448.5,2023/09/20,3108.5679,2023/09/28,17.34,2023/09/29,149.35,2023/09/29,157.89,2023/09/28,7.301,2023/09/28,0.756,2023/09/27,4.626,2023/09/28,91.81,2023/09/28,1881.7
2023/09/26,32315.05,2023/09/27,33550.27,2023/09/27,446.91,2023/09/19,3124.9567,2023/09/27,18.22,2023/09/28,149.29,2023/09/28,157.74,2023/09/27,7.3105,2023/09/27,0.741,2023/09/26,4.558,2023/09/27,93.71,2023/09/27,1893.2
2023/09/25,32678.62,2023/09/26,33618.88,2023/09/26,447.7,2023/09/18,3125.9319,2023/09/26,18.94,2023/09/27,149.63,2023/09/27,157.14,2023/09/26,7.31,2023/09/26,0.745,2023/09/25,4.542,2023/09/26,90.54,2023/09/26,1919.0
2023/09/22,32402.41,2023/09/25,34006.88,2023/09/25,450.44,2023/09/15,3117.7434,2023/09/25,16.9,2023/09/26,149.05,2023/09/26,157.58,2023/09/25,7.311,2023/09/25,0.73,2023/09/22,4.44,2023/09/25,89.88,2023/09/25,1934.9
