,日経平均,,NYダウ,,欧州（ストックス600）,,中国（上海総合）,,VIX指数（米国株の予想変動率）,,ドル/円,,ユーロ/円,,ドル/元,,日本,,米国,,原油（WTI）,,金（米先物）
↑,71.38000000000102,↓,574.9800000000032,↓,3.579999999999984,↓,36.92709999999988,↑,1.0,↓円安,1.2199999999999989,↑円高,0.5099999999999909,↓元安,0.030999999999999694,↑,0.0020000000000000018,↓,0.017400000000000304,↓,3.1299999999999955,↓,33.5
2023/03/07,28309.16,2023/03/07,32856.46,2023/03/07,460.6,2023/03/07,3285.0988,2023/03/07,19.61,2023/03/07,137.13,2023/03/07,144.66,2023/03/07,6.9605,2023/03/07,0.503,2023/03/07,3.9656,2023/03/07,77.36,2023/03/07,1818.9
2023/03/06,28237.78,2023/03/06,33431.44,2023/03/06,464.18,2023/03/06,3322.0259,2023/03/06,18.61,2023/03/06,135.91,2023/03/06,145.17,2023/03/06,6.9295,2023/03/07,0.501,2023/03/06,3.983,2023/03/06,80.49,2023/03/06,1852.4
2023/03/03,27927.47,2023/03/03,33390.97,2023/03/03,464.26,2023/03/03,3328.3927,2023/03/03,18.49,2023/03/03,135.86,2023/03/03,144.46,2023/03/03,6.9048,2023/03/06,0.504,2023/03/03,3.963,2023/03/03,79.85,2023/03/03,1862.8
2023/03/02,27498.87,2023/03/02,33003.57,2023/03/02,460.02,2023/03/02,3310.6536,2023/03/02,19.59,2023/03/02,136.76,2023/03/02,144.92,2023/03/02,6.9122,2023/03/03,0.504,2023/03/02,4.073,2023/03/02,77.88,2023/03/02,1842.1
2023/03/01,27516.53,2023/03/01,32661.84,2023/03/01,457.68,2023/03/01,3312.3478,2023/03/01,20.58,2023/03/01,136.16,2023/03/01,145.29,2023/03/01,6.8656,2023/03/02,0.506,2023/03/01,3.996,2023/03/01,77.72,2023/03/01,1843.6
2023/02/28,27445.56,2023/02/28,32656.7,2023/02/28,461.11,2023/02/28,3279.6053,2023/02/28,20.7,2023/02/28,136.2,2023/02/28,144.06,2023/02/28,6.9325,2023/03/01,0.504,2023/02/28,3.914,2023/02/28,76.84,2023/02/28,1833.8
2023/02/27,27423.96,2023/02/27,32889.09,2023/02/27,462.58,2023/02/27,3258.0344,2023/02/27,20.95,2023/02/27,136.2,2023/02/27,144.51,2023/02/27,6.943,2023/02/28,0.501,2023/02/27,3.922,2023/02/27,75.76,2023/02/27,1824.2
2023/02/24,27453.48,2023/02/24,32816.92,2023/02/24,457.7,2023/02/24,3267.1597,2023/02/24,21.67,2023/02/24,136.46,2023/02/24,143.93,2023/02/24,6.9545,2023/02/27,0.502,2023/02/24,3.949,2023/02/24,76.45,2023/02/24,1818.0
2023/02/22,27104.32,2023/02/23,33153.91,2023/02/23,462.5,2023/02/23,3287.477,2023/02/23,21.14,2023/02/23,134.7,2023/02/23,142.7,2023/02/23,6.9075,2023/02/24,0.5,2023/02/23,3.881,2023/02/23,75.65,2023/02/23,1829.6
