,日経平均,,NYダウ,,欧州（ストックス600）,,中国（上海総合）,,VIX指数（米国株の予想変動率）,,ドル/円,,ユーロ/円,,ドル/元,,日本,,米国,,原油（WTI）,,金（米先物）
↓,971.3400000000038,↓,533.060000000005,↓,0.82000000000005,↑,14.27850000000035,↑,1.4499999999999993,↑円高,0.020000000000010232,↑円高,0.009999999999990905,↑元高,0.000700000000000145,↑,0.0030000000000001137,↑,0.05609999999999982,↓,0.6999999999999886,↓,15.199999999999818
2024/07/18,40126.35,2024/07/18,40665.02,2024/07/18,514.01,2024/07/18,2977.1334,2024/07/18,15.93,2024/07/18,157.35,2024/07/18,171.46,2024/07/18,7.26,2024/07/18,1.038,2024/07/18,4.2021,2024/07/18,82.4,2024/07/18,2447.9
2024/07/17,41097.69,2024/07/17,41198.08,2024/07/17,514.83,2024/07/17,2962.8549,2024/07/17,14.48,2024/07/18,157.37,2024/07/18,171.47,2024/07/17,7.2607,2024/07/18,1.035,2024/07/17,4.146,2024/07/17,83.1,2024/07/17,2463.1
2024/07/16,41275.08,2024/07/16,40954.48,2024/07/16,517.3,2024/07/16,2976.3043,2024/07/16,13.19,2024/07/17,156.16,2024/07/17,170.84,2024/07/16,7.2685,2024/07/17,1.033,2024/07/16,4.167,2024/07/16,80.82,2024/07/16,2473.6
2024/07/12,41190.68,2024/07/15,40211.72,2024/07/15,518.73,2024/07/15,2974.0107,2024/07/15,13.12,2024/07/16,158.34,2024/07/16,172.55,2024/07/15,7.2592,2024/07/16,1.021,2024/07/15,4.229,2024/07/15,81.96,2024/07/15,2427.4
2024/07/11,42224.02,2024/07/12,40000.9,2024/07/12,524.08,2024/07/12,2971.295,2024/07/12,12.46,2024/07/15,158.01,2024/07/15,172.22,2024/07/12,7.25,2024/07/12,1.047,2024/07/12,4.187,2024/07/12,82.18,2024/07/12,2416.0
2024/07/10,41831.99,2024/07/11,39753.75,2024/07/11,519.51,2024/07/11,2970.3874,2024/07/11,12.92,2024/07/12,157.89,2024/07/12,172.21,2024/07/11,7.2576,2024/07/11,1.086,2024/07/11,4.193,2024/07/11,82.84,2024/07/11,2420.9
2024/07/09,41580.17,2024/07/10,39721.36,2024/07/10,516.42,2024/07/10,2939.3636,2024/07/10,12.85,2024/07/11,158.8,2024/07/11,172.68,2024/07/10,7.2759,2024/07/10,1.085,2024/07/10,4.28,2024/07/10,82.41,2024/07/10,2377.9
2024/07/08,40780.7,2024/07/09,39291.97,2024/07/09,511.76,2024/07/09,2959.3724,2024/07/09,12.51,2024/07/10,161.67,2024/07/10,175.09,2024/07/09,7.2725,2024/07/09,1.075,2024/07/09,4.3,2024/07/09,81.81,2024/07/09,2371.1
2024/07/05,40912.37,2024/07/08,39344.79,2024/07/08,516.43,2024/07/08,2922.4498,2024/07/08,12.37,2024/07/09,161.31,2024/07/09,174.42,2024/07/08,7.2683,2024/07/08,1.086,2024/07/08,4.269,2024/07/08,82.22,2024/07/08,2366.4
