,日経平均,,NYダウ,,欧州（ストックス600）,,中国（上海総合）,,VIX指数（米国株の予想変動率）,,ドル/円,,ユーロ/円,,ドル/元,,日本,,米国,,原油（WTI）,,金（米先物）
↑,120.14999999999782,↓,348.99000000000524,↓,4.180000000000007,↓,13.979199999999764,↑,1.75,↑円高,0.09999999999999432,↑円高,0.22999999999998977,↓元安,0.0019000000000000128,↓,0.09099999999999997,↑,0.0019999999999997797,↓,0.269999999999996,↓,24.600000000000136
2022/12/22,26507.87,2022/12/22,33027.49,2022/12/22,427.26,2022/12/22,3054.4313,2022/12/22,21.82,2022/12/22,132.37,2022/12/22,140.22,2022/12/22,6.9829,2022/12/22,0.392,2022/12/22,3.686,2022/12/22,78.15,2022/12/22,1799.3
2022/12/21,26387.72,2022/12/21,33376.48,2022/12/21,431.44,2022/12/21,3068.4105,2022/12/21,20.07,2022/12/21,132.47,2022/12/21,140.45,2022/12/21,6.981,2022/12/21,0.483,2022/12/21,3.684,2022/12/21,78.42,2022/12/21,1823.9
2022/12/20,26568.03,2022/12/20,32849.74,2022/12/20,424.18,2022/12/20,3073.7659,2022/12/20,21.48,2022/12/20,131.7,2022/12/20,139.88,2022/12/20,6.96,2022/12/20,0.407,2022/12/20,3.684,2022/12/20,76.02,2022/12/20,1827.7
2022/12/19,27237.64,2022/12/19,32757.54,2022/12/19,425.87,2022/12/19,3107.115,2022/12/19,22.42,2022/12/19,136.88,2022/12/19,145.2,2022/12/19,6.9772,2022/12/19,0.256,2022/12/19,3.583,2022/12/19,75.67,2022/12/19,1796.8
2022/12/16,27527.12,2022/12/16,32920.46,2022/12/16,424.74,2022/12/16,3167.8576,2022/12/16,22.62,2022/12/16,136.69,2022/12/16,144.7,2022/12/16,6.9708,2022/12/16,0.251,2022/12/16,3.482,2022/12/16,74.5,2022/12/16,1803.0
2022/12/15,28051.7,2022/12/15,33202.22,2022/12/15,429.91,2022/12/15,3168.6478,2022/12/15,22.83,2022/12/15,137.76,2022/12/15,146.41,2022/12/15,6.9716,2022/12/15,0.257,2022/12/15,3.45,2022/12/15,76.37,2022/12/15,1787.1
2022/12/14,28156.21,2022/12/14,33966.35,2022/12/14,442.51,2022/12/14,3176.5253,2022/12/14,21.14,2022/12/14,135.47,2022/12/14,144.68,2022/12/14,6.9498,2022/12/14,0.251,2022/12/14,3.503,2022/12/14,77.42,2022/12/14,1818.8
2022/12/13,27954.85,2022/12/13,34108.64,2022/12/13,442.6,2022/12/13,3176.3255,2022/12/13,22.55,2022/12/13,135.57,2022/12/13,144.16,2022/12/13,6.943,2022/12/13,0.251,2022/12/13,3.503,2022/12/13,75.25,2022/12/13,1822.5
2022/12/12,27842.33,2022/12/12,34005.04,2022/12/12,436.98,2022/12/12,3179.0417,2022/12/12,25.0,2022/12/12,137.66,2022/12/12,145.04,2022/12/12,6.9773,2022/12/12,0.252,2022/12/12,3.611,2022/12/12,73.3,2022/12/12,1792.9
