,日経平均,,NYダウ,,欧州（ストックス600）,,中国（上海総合）,,VIX指数（米国株の予想変動率）,,ドル/円,,ユーロ/円,,ドル/元,,日本,,米国,,原油（WTI）,,金（米先物）
↑,238.04000000000087,↑,47.979999999995925,↑,1.1800000000000068,↑,38.37480000000005,↑,0.08999999999999986,↑円高,0.010000000000019327,↑円高,0.01999999999998181,↑元高,0.005499999999999616,↑,0.0010000000000000009,↑,0.04449999999999976,↑,1.2099999999999937,↑,5.800000000000182
2023/05/15,29626.34,2023/05/15,33348.6,2023/05/15,466.67,2023/05/15,3310.7367,2023/05/15,17.12,2023/05/15,136.1,2023/05/15,147.99,2023/05/15,6.952,2023/05/15,0.411,2023/05/15,3.5075,2023/05/15,71.3,2023/05/15,2021.4
2023/05/12,29388.3,2023/05/12,33300.62,2023/05/12,465.49,2023/05/12,3272.3619,2023/05/12,17.03,2023/05/15,136.11,2023/05/15,148.01,2023/05/12,6.9575,2023/05/15,0.41,2023/05/12,3.463,2023/05/12,70.09,2023/05/12,2015.6
2023/05/11,29126.72,2023/05/11,33309.51,2023/05/11,463.62,2023/05/11,3309.5512,2023/05/11,16.93,2023/05/12,135.71,2023/05/12,147.24,2023/05/11,6.948,2023/05/12,0.386,2023/05/11,3.397,2023/05/11,71.42,2023/05/11,2020.5
2023/05/10,29122.18,2023/05/10,33531.33,2023/05/10,463.64,2023/05/10,3319.1506,2023/05/10,16.94,2023/05/11,134.54,2023/05/11,146.85,2023/05/10,6.9321,2023/05/11,0.391,2023/05/10,3.441,2023/05/10,72.79,2023/05/10,2036.8
2023/05/09,29242.82,2023/05/09,33561.81,2023/05/09,465.41,2023/05/09,3357.6707,2023/05/09,17.71,2023/05/10,134.34,2023/05/10,147.57,2023/05/09,6.92,2023/05/10,0.412,2023/05/09,3.522,2023/05/09,73.53,2023/05/09,2041.8
2023/05/08,28949.88,2023/05/08,33618.69,2023/05/08,466.94,2023/05/08,3395.0036,2023/05/08,16.98,2023/05/09,135.21,2023/05/09,148.21,2023/05/08,6.9121,2023/05/09,0.425,2023/05/08,3.519,2023/05/08,72.8,2023/05/08,2028.5
2023/05/02,29157.95,2023/05/05,33674.38,2023/05/05,465.31,2023/05/05,3334.5028,2023/05/05,17.19,2023/05/08,135.08,2023/05/08,148.69,2023/05/05,6.91,2023/05/08,0.411,2023/05/05,3.446,2023/05/05,71.32,2023/05/05,2024.9
2023/05/01,29123.18,2023/05/04,33127.74,2023/05/04,460.34,2023/05/04,3350.4587,2023/05/04,20.09,2023/05/05,134.83,2023/05/05,148.57,2023/05/04,6.906,2023/05/02,0.421,2023/05/04,3.352,2023/05/04,68.59,2023/05/04,2058.6
2023/04/28,28856.44,2023/05/03,33414.24,2023/05/03,462.51,2023/04/28,3323.2746,2023/05/03,18.34,2023/05/04,134.27,2023/05/04,147.87,2023/05/03,6.911,2023/05/01,0.401,2023/05/03,3.403,2023/05/03,68.14,2023/05/03,2048.8
2023/04/27,28457.68,2023/05/02,33684.53,2023/05/02,461.08,2023/04/27,3285.8844,2023/05/02,17.78,2023/05/03,134.68,2023/05/03,149.06,2023/05/02,6.911,2023/04/28,0.398,2023/05/02,3.439,2023/05/02,71.54,2023/05/02,2025.8
2023/04/26,28416.47,2023/05/01,34051.7,2023/05/01,466.89,2023/04/26,3264.1006,2023/05/01,16.08,2023/05/02,136.53,2023/05/02,150.22,2023/05/01,6.911,2023/04/27,0.463,2023/05/01,3.574,2023/05/01,75.75,2023/05/01,1991.3
2023/04/25,28620.07,2023/04/28,34098.16,2023/04/28,466.64,2023/04/25,3264.8717,2023/04/28,15.78,2023/05/01,137.48,2023/05/01,150.91,2023/04/28,6.911,2023/04/26,0.456,2023/04/28,3.452,2023/04/28,76.63,2023/04/28,1999.4
2023/04/24,28593.52,2023/04/27,33826.16,2023/04/27,464.03,2023/04/24,3275.413,2023/04/27,17.03,2023/04/28,136.28,2023/04/28,150.08,2023/04/27,6.922,2023/04/25,0.484,2023/04/27,3.528,2023/04/27,74.82,2023/04/27,1997.0
2023/04/21,28564.37,2023/04/26,33301.87,2023/04/26,463.21,2023/04/21,3301.2575,2023/04/26,18.84,2023/04/27,133.94,2023/04/27,147.77,2023/04/26,6.9261,2023/04/24,0.47,2023/04/26,3.43,2023/04/26,74.34,2023/04/26,1998.8
2023/04/20,28657.57,2023/04/25,33530.83,2023/04/25,467.08,2023/04/20,3367.031,2023/04/25,18.76,2023/04/26,133.66,2023/04/26,147.56,2023/04/25,6.9323,2023/04/21,0.467,2023/04/25,3.398,2023/04/25,77.13,2023/04/25,2007.9
2023/04/19,28606.76,2023/04/24,33875.4,2023/04/24,468.97,2023/04/19,3370.1283,2023/04/24,16.89,2023/04/25,133.71,2023/04/25,146.73,2023/04/24,6.8958,2023/04/20,0.471,2023/04/24,3.515,2023/04/24,78.68,2023/04/24,1999.4
2023/04/18,28658.83,2023/04/21,33808.96,2023/04/21,469.0,2023/04/18,3393.3312,2023/04/21,16.77,2023/04/24,134.22,2023/04/24,148.26,2023/04/21,6.892,2023/04/19,0.476,2023/04/21,3.572,2023/04/21,77.95,2023/04/21,1994.1
2023/04/17,28514.78,2023/04/20,33786.62,2023/04/20,467.43,2023/04/17,3385.6095,2023/04/20,17.17,2023/04/21,134.15,2023/04/21,147.4,2023/04/20,6.8725,2023/04/18,0.476,2023/04/20,3.545,2023/04/20,77.29,2023/04/20,2016.6
2023/04/14,28493.47,2023/04/19,33897.01,2023/04/19,468.13,2023/04/14,3338.1525,2023/04/19,16.46,2023/04/20,134.23,2023/04/20,147.27,2023/04/19,6.885,2023/04/17,0.483,2023/04/19,3.602,2023/04/19,78.96,2023/04/19,2007.4
2023/04/13,28156.97,2023/04/18,33976.63,2023/04/18,468.62,2023/04/13,3318.3638,2023/04/18,16.83,2023/04/19,134.69,2023/04/19,147.57,2023/04/18,6.8755,2023/04/14,0.471,2023/04/18,3.572,2023/04/18,80.85,2023/04/18,2017.8
2023/04/12,28082.7,2023/04/17,33987.18,2023/04/17,466.84,2023/04/12,3327.1816,2023/04/17,16.95,2023/04/18,134.09,2023/04/18,147.17,2023/04/17,6.8786,2023/04/13,0.471,2023/04/17,3.591,2023/04/17,80.95,2023/04/17,2007.5
2023/04/11,27923.37,2023/04/14,33886.47,2023/04/14,466.91,2023/04/11,3313.5705,2023/04/14,17.07,2023/04/17,134.46,2023/04/17,146.94,2023/04/14,6.869,2023/04/12,0.466,2023/04/14,3.522,2023/04/14,82.68,2023/04/14,2017.7
2023/04/10,27633.66,2023/04/13,34029.69,2023/04/13,464.21,2023/04/10,3315.3578,2023/04/13,17.8,2023/04/14,133.77,2023/04/14,147.06,2023/04/13,6.8677,2023/04/11,0.452,2023/04/13,3.451,2023/04/13,82.43,2023/04/13,2054.6
2023/04/07,27518.31,2023/04/12,33646.5,2023/04/12,462.38,2023/04/07,3327.6457,2023/04/12,19.09,2023/04/13,132.56,2023/04/13,146.43,2023/04/12,6.873,2023/04/10,0.462,2023/04/12,3.421,2023/04/12,83.26,2023/04/12,2029.4
2023/04/06,27472.63,2023/04/11,33684.79,2023/04/11,461.79,2023/04/06,3312.628,2023/04/11,19.1,2023/04/12,133.12,2023/04/12,146.33,2023/04/11,6.8866,2023/04/07,0.461,2023/04/11,3.434,2023/04/11,81.46,2023/04/11,2019.0
2023/04/05,27813.26,2023/04/10,33586.52,2023/04/06,458.94,2023/04/04,3312.5578,2023/04/10,18.97,2023/04/11,133.65,2023/04/11,145.89,2023/04/10,6.8807,2023/04/06,0.47,2023/04/10,3.415,2023/04/10,79.91,2023/04/10,1988.9
2023/04/04,28287.42,2023/04/06,33485.29,2023/04/05,456.59,2023/04/03,3296.396,2023/04/06,18.4,2023/04/10,133.6,2023/04/10,145.08,2023/04/07,6.8681,2023/04/05,0.473,2023/04/07,3.383,2023/04/06,80.46,2023/04/06,2023.7
2023/04/03,28188.15,2023/04/05,33482.72,2023/04/04,457.34,2023/03/31,3272.8602,2023/04/05,19.08,2023/04/07,132.13,2023/04/07,144.14,2023/04/06,6.875,2023/04/04,0.402,2023/04/06,3.29,2023/04/05,80.35,2023/04/05,2037.1
2023/03/31,28041.48,2023/04/04,33402.38,2023/04/03,457.72,2023/03/30,3261.2485,2023/04/04,19.0,2023/04/06,131.76,2023/04/06,143.88,2023/04/05,6.878,2023/04/03,0.376,2023/04/05,3.287,2023/04/04,81.05,2023/04/04,2038.1
2023/03/30,27782.93,2023/04/03,33601.15,2023/03/31,457.84,2023/03/29,3240.0568,2023/04/03,18.55,2023/04/05,131.31,2023/04/05,143.11,2023/04/04,6.878,2023/03/31,0.324,2023/04/04,3.337,2023/04/03,80.45,2023/04/03,2001.7
