,日経平均,,NYダウ,,欧州（ストックス600）,,中国（上海総合）,,VIX指数（米国株の予想変動率）,,ドル/円,,ユーロ/円,,ドル/元,,日本,,米国,,原油（WTI）,,金（米先物）
↓,4451.279999999999,↓,1033.9900000000052,↓,10.800000000000011,↓,44.639700000000175,↑,15.18,↑円高,0.009999999999990905,↑円高,0.03999999999999204,↑元高,0.03000000000000025,↑,0.02200000000000002,↓,0.016999999999999904,↓,0.21999999999999886,↓,34.0
2024/08/05,31458.42,2024/08/05,38703.27,2024/08/05,487.05,2024/08/05,2860.6978,2024/08/05,38.57,2024/08/05,144.16,2024/08/05,157.84,2024/08/05,7.13,2024/08/05,0.79,2024/08/05,3.779,2024/08/05,73.92,2024/08/05,2452.1
2024/08/02,35909.7,2024/08/02,39737.26,2024/08/02,497.85,2024/08/02,2905.3375,2024/08/02,23.39,2024/08/05,144.17,2024/08/05,157.88,2024/08/02,7.16,2024/08/05,0.768,2024/08/02,3.796,2024/08/02,74.14,2024/08/02,2486.1
2024/08/01,38126.33,2024/08/01,40347.97,2024/08/01,511.83,2024/08/01,2932.3871,2024/08/01,18.59,2024/08/02,146.54,2024/08/02,159.86,2024/08/01,7.2441,2024/08/02,0.96,2024/08/01,3.978,2024/08/01,76.93,2024/08/01,2490.9
2024/07/31,39101.82,2024/07/31,40842.79,2024/07/31,518.18,2024/07/31,2938.7493,2024/07/31,16.36,2024/08/01,149.36,2024/08/01,161.17,2024/07/31,7.2193,2024/08/01,1.033,2024/07/31,4.105,2024/07/31,78.64,2024/07/31,2493.4
2024/07/30,38525.95,2024/07/30,40743.33,2024/07/30,514.08,2024/07/30,2879.2996,2024/07/30,17.69,2024/07/31,149.98,2024/07/31,162.35,2024/07/30,7.2511,2024/07/31,1.061,2024/07/30,4.141,2024/07/30,75.28,2024/07/30,2456.0
2024/07/29,38468.63,2024/07/29,40539.93,2024/07/29,511.79,2024/07/29,2891.8453,2024/07/29,16.6,2024/07/30,152.76,2024/07/30,165.18,2024/07/29,7.2597,2024/07/30,1.001,2024/07/29,4.178,2024/07/29,75.94,2024/07/29,2381.5
2024/07/26,37667.41,2024/07/26,40589.34,2024/07/26,512.83,2024/07/26,2890.8973,2024/07/26,16.39,2024/07/29,154.01,2024/07/29,166.66,2024/07/26,7.2502,2024/07/29,1.026,2024/07/26,4.2,2024/07/26,76.44,2024/07/26,2385.7
2024/07/25,37869.51,2024/07/25,39935.07,2024/07/25,508.63,2024/07/25,2886.7416,2024/07/25,18.46,2024/07/26,153.72,2024/07/26,166.93,2024/07/25,7.231,2024/07/26,1.059,2024/07/25,4.256,2024/07/25,78.35,2024/07/25,2363.4
2024/07/24,39154.85,2024/07/24,39853.87,2024/07/24,512.3,2024/07/24,2901.9518,2024/07/24,18.04,2024/07/25,153.93,2024/07/25,166.94,2024/07/24,7.2625,2024/07/25,1.07,2024/07/24,4.286,2024/07/24,77.5,2024/07/24,2397.5
2024/07/23,39594.39,2024/07/23,40358.09,2024/07/23,515.47,2024/07/23,2915.3685,2024/07/23,14.72,2024/07/24,153.87,2024/07/24,166.79,2024/07/23,7.2748,2024/07/24,1.075,2024/07/23,4.239,2024/07/23,77.47,2024/07/23,2410.6
2024/07/22,39599.0,2024/07/22,40415.44,2024/07/22,514.79,2024/07/22,2964.2155,2024/07/22,14.91,2024/07/23,155.58,2024/07/23,168.85,2024/07/22,7.2736,2024/07/23,1.061,2024/07/22,4.26,2024/07/22,79.95,2024/07/22,2398.2
