,日経平均,,NYダウ,,欧州（ストックス600）,,中国（上海総合）,,VIX指数（米国株の予想変動率）,,ドル/円,,ユーロ/円,,ドル/元,,日本,,米国,,原油（WTI）,,金（米先物）
↓,761.6000000000058,↑,63.86000000000058,↓,7.720000000000027,↓,50.309499999999844,↓,0.8300000000000018,↑円高,0.05000000000001137,↑円高,0.04999999999998295,↑元高,0.0007999999999999119,↑,0.0040000000000000036,↑,0.04150000000000009,↓,0.3400000000000034,↑,0.1999999999998181
2024/04/16,38471.2,2024/04/16,37798.97,2024/04/16,498.21,2024/04/16,3007.0681,2024/04/16,18.4,2024/04/16,154.66,2024/04/16,164.21,2024/04/16,7.237,2024/04/16,0.871,2024/04/16,4.6695,2024/04/16,85.31,2024/04/16,2399.5
2024/04/15,39232.8,2024/04/15,37735.11,2024/04/15,505.93,2024/04/15,3057.3776,2024/04/15,19.23,2024/04/16,154.71,2024/04/16,164.26,2024/04/15,7.2378,2024/04/16,0.867,2024/04/15,4.628,2024/04/15,85.65,2024/04/15,2399.3
2024/04/12,39523.55,2024/04/12,37983.24,2024/04/12,505.25,2024/04/12,3019.4735,2024/04/12,17.31,2024/04/15,154.27,2024/04/15,163.9,2024/04/12,7.2371,2024/04/15,0.86,2024/04/12,4.499,2024/04/12,85.45,2024/04/12,2360.2
2024/04/11,39442.63,2024/04/11,38459.08,2024/04/11,504.55,2024/04/11,3034.2464,2024/04/11,14.91,2024/04/12,153.28,2024/04/12,163.08,2024/04/11,7.2373,2024/04/12,0.861,2024/04/11,4.576,2024/04/11,85.59,2024/04/11,2390.6
2024/04/10,39581.81,2024/04/10,38461.51,2024/04/10,506.59,2024/04/10,3027.3349,2024/04/10,15.8,2024/04/11,153.27,2024/04/11,164.37,2024/04/10,7.234,2024/04/11,0.855,2024/04/10,4.56,2024/04/10,86.25,2024/04/10,2352.4
2024/04/09,39773.13,2024/04/09,38883.67,2024/04/09,505.82,2024/04/09,3048.5369,2024/04/09,14.98,2024/04/10,153.17,2024/04/10,164.52,2024/04/09,7.2316,2024/04/10,0.796,2024/04/09,4.366,2024/04/09,85.34,2024/04/09,2372.0
2024/04/08,39347.04,2024/04/08,38892.8,2024/04/08,508.93,2024/04/08,3047.0526,2024/04/08,15.19,2024/04/09,151.77,2024/04/09,164.76,2024/04/08,7.2306,2024/04/09,0.785,2024/04/08,4.424,2024/04/08,86.57,2024/04/08,2358.4
2024/04/05,38992.08,2024/04/05,38904.04,2024/04/05,506.55,2024/04/03,3069.2959,2024/04/05,16.03,2024/04/08,151.79,2024/04/08,164.87,2024/04/05,7.233,2024/04/08,0.784,2024/04/05,4.378,2024/04/05,86.73,2024/04/05,2349.1
2024/04/04,39773.14,2024/04/04,38596.98,2024/04/04,510.84,2024/04/02,3074.9586,2024/04/04,16.35,2024/04/05,151.61,2024/04/05,164.3,2024/04/04,7.233,2024/04/05,0.77,2024/04/04,4.309,2024/04/04,86.86,2024/04/04,2310.4
2024/04/03,39451.85,2024/04/03,39127.14,2024/04/03,510.02,2024/04/01,3077.3786,2024/04/03,14.33,2024/04/04,151.33,2024/04/04,164.02,2024/04/03,7.233,2024/04/04,0.775,2024/04/03,4.355,2024/04/03,85.65,2024/04/03,2320.9
2024/04/02,39838.91,2024/04/02,39170.24,2024/04/02,508.57,2024/03/29,3041.1669,2024/04/02,14.61,2024/04/03,151.68,2024/04/03,164.36,2024/04/02,7.232,2024/04/03,0.765,2024/04/02,4.365,2024/04/02,85.44,2024/04/02,2301.0
2024/04/01,39803.09,2024/04/01,39566.85,2024/03/28,512.67,2024/03/28,3010.6636,2024/04/01,13.65,2024/04/02,151.55,2024/04/02,163.21,2024/04/01,7.2305,2024/04/02,0.745,2024/04/01,4.329,2024/04/01,83.99,2024/04/01,2251.6
2024/03/29,40369.44,2024/03/28,39807.37,2024/03/27,511.75,2024/03/27,2993.1388,2024/03/28,13.01,2024/04/01,151.63,2024/04/01,162.9,2024/03/29,7.2203,2024/04/01,0.74,2024/03/28,4.194,2024/03/28,83.11,2024/03/28,2254.8
2024/03/28,40168.07,2024/03/27,39760.08,2024/03/26,511.09,2024/03/26,3031.4809,2024/03/27,12.78,2024/03/29,151.31,2024/03/29,163.31,2024/03/28,7.2262,2024/03/29,0.726,2024/03/27,4.196,2024/03/27,81.71,2024/03/27,2215.4
2024/03/27,40762.73,2024/03/26,39282.33,2024/03/25,509.86,2024/03/25,3026.3055,2024/03/26,13.24,2024/03/28,151.37,2024/03/28,163.25,2024/03/27,7.227,2024/03/28,0.706,2024/03/26,4.234,2024/03/26,81.29,2024/03/26,2179.5
2024/03/26,40398.03,2024/03/25,39313.64,2024/03/22,509.64,2024/03/22,3048.0336,2024/03/25,13.19,2024/03/27,151.32,2024/03/27,163.74,2024/03/26,7.2176,2024/03/27,0.722,2024/03/25,4.253,2024/03/25,82.0,2024/03/25,2173.0
2024/03/25,40414.12,2024/03/22,39475.9,2024/03/21,509.77,2024/03/21,3077.113,2024/03/22,13.06,2024/03/26,151.55,2024/03/26,164.16,2024/03/25,7.2102,2024/03/26,0.739,2024/03/22,4.218,2024/03/22,80.82,2024/03/22,2166.5
2024/03/22,40888.43,2024/03/21,39781.37,2024/03/20,505.21,2024/03/20,3079.6859,2024/03/21,12.92,2024/03/25,151.41,2024/03/25,164.09,2024/03/22,7.2293,2024/03/25,0.73,2024/03/21,4.271,2024/03/21,80.82,2024/03/21,2183.3
2024/03/21,40815.66,2024/03/20,39512.13,2024/03/19,505.23,2024/03/19,3062.7558,2024/03/20,13.04,2024/03/22,151.42,2024/03/22,163.66,2024/03/21,7.1993,2024/03/22,0.742,2024/03/20,4.271,2024/03/20,81.84,2024/03/20,2189.6
2024/03/19,40003.6,2024/03/19,39110.76,2024/03/18,503.94,2024/03/18,3084.9262,2024/03/19,13.82,2024/03/21,151.61,2024/03/21,164.63,2024/03/20,7.1992,2024/03/21,0.745,2024/03/19,4.296,2024/03/19,83.2,2024/03/19,2160.9
2024/03/18,39740.44,2024/03/18,38790.43,2024/03/15,504.8,2024/03/15,3054.6359,2024/03/18,14.33,2024/03/20,151.25,2024/03/20,165.21,2024/03/19,7.1991,2024/03/19,0.732,2024/03/18,4.34,2024/03/18,82.79,2024/03/18,2163.9
2024/03/15,38707.64,2024/03/15,38714.77,2024/03/14,506.4,2024/03/14,3038.2339,2024/03/15,14.41,2024/03/19,150.85,2024/03/19,163.91,2024/03/18,7.1981,2024/03/18,0.756,2024/03/15,4.304,2024/03/15,81.0,2024/03/15,2159.4
2024/03/14,38807.38,2024/03/14,38905.66,2024/03/13,507.33,2024/03/13,3043.8346,2024/03/14,14.4,2024/03/18,149.14,2024/03/18,162.17,2024/03/15,7.1954,2024/03/15,0.785,2024/03/14,4.298,2024/03/14,81.08,2024/03/14,2166.5
2024/03/13,38695.97,2024/03/13,39043.32,2024/03/12,506.52,2024/03/12,3055.935,2024/03/13,13.75,2024/03/15,149.02,2024/03/15,162.27,2024/03/14,7.1932,2024/03/14,0.781,2024/03/13,4.192,2024/03/13,79.6,2024/03/13,2179.4
2024/03/12,38797.51,2024/03/12,39005.49,2024/03/11,501.49,2024/03/11,3068.4554,2024/03/12,13.84,2024/03/14,148.32,2024/03/14,161.42,2024/03/13,7.1861,2024/03/13,0.761,2024/03/12,4.155,2024/03/12,78.03,2024/03/12,2163.9
