,日経平均,,NYダウ,,欧州（ストックス600）,,中国（上海総合）,,VIX指数（米国株の予想変動率）,,ドル/円,,ユーロ/円,,ドル/元,,日本,,米国,,原油（WTI）,,金（米先物）
↓,75.45000000000437,↑,25.5,↓,0.5099999999999909,↓,12.658600000000206,↑,0.7600000000000016,↓円安,1.1200000000000045,↑円高,0.28999999999999204,↓元安,0.04479999999999951,↑,0.009000000000000008,↑,0.0806,↓,0.8400000000000034,↓,4.300000000000182
2023/12/29,33464.17,2024/01/02,37715.04,2024/01/02,478.51,2024/01/02,2962.2762,2024/01/02,13.21,2024/01/02,141.99,2024/01/02,155.37,2024/01/02,7.1426,2023/12/29,0.625,2024/01/02,3.9406,2024/01/02,70.49,2024/01/02,2067.5
2023/12/28,33539.62,2023/12/29,37689.54,2023/12/29,479.02,2023/12/29,2974.9348,2023/12/29,12.45,2024/01/01,140.87,2024/01/01,155.66,2024/01/01,7.0978,2023/12/29,0.616,2023/12/29,3.86,2023/12/29,71.33,2023/12/29,2071.8
2023/12/27,33681.24,2023/12/28,37710.1,2023/12/28,478.08,2023/12/28,2954.7035,2023/12/28,12.47,2023/12/29,141.06,2023/12/29,155.63,2023/12/29,7.0978,2023/12/28,0.59,2023/12/28,3.85,2023/12/28,72.04,2023/12/28,2075.7
2023/12/26,33305.85,2023/12/27,37656.52,2023/12/27,478.62,2023/12/27,2914.6138,2023/12/27,12.43,2023/12/28,141.39,2023/12/28,156.43,2023/12/28,7.108,2023/12/27,0.601,2023/12/27,3.789,2023/12/27,73.82,2023/12/27,2089.4
2023/12/25,33254.03,2023/12/26,37545.33,2023/12/22,477.6,2023/12/26,2898.8787,2023/12/26,12.99,2023/12/27,141.83,2023/12/27,157.49,2023/12/27,7.1405,2023/12/26,0.633,2023/12/26,3.886,2023/12/26,75.43,2023/12/26,2079.2
2023/12/22,33169.05,2023/12/22,37385.97,2023/12/21,476.94,2023/12/25,2918.8126,2023/12/22,13.03,2023/12/26,142.38,2023/12/26,157.23,2023/12/26,7.1432,2023/12/25,0.615,2023/12/22,3.908,2023/12/22,73.49,2023/12/22,2064.5
2023/12/21,33140.47,2023/12/21,37404.35,2023/12/20,477.94,2023/12/22,2914.7752,2023/12/21,13.65,2023/12/25,142.34,2023/12/25,156.85,2023/12/25,7.1361,2023/12/22,0.625,2023/12/21,3.894,2023/12/21,73.93,2023/12/21,2057.8
2023/12/20,33675.94,2023/12/20,37082.0,2023/12/19,477.04,2023/12/21,2918.7149,2023/12/20,13.67,2023/12/22,142.41,2023/12/22,156.83,2023/12/22,7.1315,2023/12/21,0.581,2023/12/20,3.877,2023/12/20,73.82,2023/12/20,2044.4
2023/12/19,33219.39,2023/12/19,37557.92,2023/12/18,475.32,2023/12/20,2902.1096,2023/12/19,12.53,2023/12/21,142.1,2023/12/21,156.43,2023/12/21,7.1381,2023/12/20,0.554,2023/12/19,3.922,2023/12/19,73.58,2023/12/19,2053.8
2023/12/18,32758.98,2023/12/18,37306.02,2023/12/15,476.61,2023/12/19,2932.3908,2023/12/18,12.56,2023/12/20,143.56,2023/12/20,157.07,2023/12/20,7.1355,2023/12/19,0.64,2023/12/18,3.956,2023/12/18,72.56,2023/12/18,2041.2
2023/12/15,32970.55,2023/12/15,37305.16,2023/12/14,476.57,2023/12/18,2930.8036,2023/12/15,12.28,2023/12/19,143.82,2023/12/19,157.92,2023/12/19,7.1287,2023/12/18,0.67,2023/12/15,3.928,2023/12/15,71.79,2023/12/15,2033.8
2023/12/14,32686.25,2023/12/14,37248.35,2023/12/13,472.46,2023/12/15,2942.5568,2023/12/14,12.48,2023/12/18,142.74,2023/12/18,155.95,2023/12/18,7.1335,2023/12/15,0.711,2023/12/14,3.93,2023/12/14,71.65,2023/12/14,2051.3
2023/12/13,32926.35,2023/12/13,37090.24,2023/12/12,472.72,2023/12/14,2958.9856,2023/12/13,12.19,2023/12/15,142.15,2023/12/15,154.88,2023/12/15,7.1179,2023/12/14,0.676,2023/12/13,4.033,2023/12/13,69.87,2023/12/13,2043.1
2023/12/12,32843.7,2023/12/12,36577.94,2023/12/11,473.7,2023/12/13,2968.7606,2023/12/12,12.07,2023/12/14,141.87,2023/12/14,155.98,2023/12/14,7.1088,2023/12/13,0.69,2023/12/12,4.206,2023/12/12,68.76,2023/12/12,1995.0
2023/12/11,32791.8,2023/12/11,36404.93,2023/12/08,472.26,2023/12/12,3003.4378,2023/12/11,12.63,2023/12/13,142.88,2023/12/13,155.38,2023/12/13,7.1725,2023/12/12,0.735,2023/12/11,4.239,2023/12/11,71.4,2023/12/11,1997.6
2023/12/08,32307.86,2023/12/08,36247.87,2023/12/07,468.78,2023/12/11,2991.4385,2023/12/08,12.35,2023/12/12,145.43,2023/12/12,156.98,2023/12/12,7.1755,2023/12/11,0.776,2023/12/08,4.245,2023/12/08,71.26,2023/12/08,2020.8
2023/12/07,32858.31,2023/12/07,36117.38,2023/12/06,470.06,2023/12/08,2969.5594,2023/12/07,13.06,2023/12/11,146.16,2023/12/11,157.31,2023/12/11,7.1755,2023/12/08,0.772,2023/12/07,4.129,2023/12/07,69.64,2023/12/07,2045.3
2023/12/06,33445.9,2023/12/06,36054.43,2023/12/05,467.62,2023/12/07,2966.2061,2023/12/06,12.97,2023/12/08,144.93,2023/12/08,156.02,2023/12/08,7.1645,2023/12/07,0.748,2023/12/06,4.121,2023/12/06,69.25,2023/12/06,2043.4
2023/12/05,32775.82,2023/12/05,36124.56,2023/12/04,465.78,2023/12/06,2968.9334,2023/12/05,12.85,2023/12/07,144.12,2023/12/07,155.56,2023/12/07,7.1505,2023/12/06,0.65,2023/12/05,4.171,2023/12/05,72.06,2023/12/05,2037.6
2023/12/04,33231.27,2023/12/04,36204.44,2023/12/01,466.2,2023/12/05,2972.2959,2023/12/04,13.08,2023/12/06,147.31,2023/12/06,158.56,2023/12/06,7.159,2023/12/05,0.675,2023/12/04,4.286,2023/12/04,73.29,2023/12/04,2048.2
2023/12/01,33431.51,2023/12/01,36245.5,2023/11/30,461.61,2023/12/04,3022.9138,2023/12/01,12.63,2023/12/05,147.15,2023/12/05,158.85,2023/12/05,7.1463,2023/12/04,0.69,2023/12/01,4.224,2023/12/01,74.38,2023/12/01,2091.7
2023/11/30,33486.89,2023/11/30,35950.89,2023/11/29,459.1,2023/12/01,3031.6358,2023/11/30,12.92,2023/12/04,147.2,2023/12/04,159.5,2023/12/04,7.1424,2023/12/01,0.704,2023/11/30,4.35,2023/11/30,75.61,2023/11/30,2056.1
2023/11/29,33321.22,2023/11/29,35430.42,2023/11/28,457.04,2023/11/30,3029.6727,2023/11/29,12.98,2023/12/01,146.81,2023/12/01,159.74,2023/12/01,7.1386,2023/11/30,0.676,2023/11/29,4.271,2023/11/29,77.72,2023/11/29,2065.5
2023/11/28,33408.39,2023/11/28,35416.98,2023/11/27,458.41,2023/11/29,3021.6874,2023/11/28,12.69,2023/11/30,148.19,2023/11/30,161.35,2023/11/30,7.136,2023/11/29,0.679,2023/11/28,4.336,2023/11/28,76.58,2023/11/28,2041.6
2023/11/27,33447.67,2023/11/27,35333.47,2023/11/24,459.98,2023/11/28,3038.5545,2023/11/27,12.69,2023/11/29,147.24,2023/11/29,161.51,2023/11/29,7.13,2023/11/28,0.756,2023/11/27,4.388,2023/11/27,75.02,2023/11/27,2014.4
2023/11/24,33625.53,2023/11/24,35390.15,2023/11/23,458.47,2023/11/27,3031.7002,2023/11/24,12.46,2023/11/28,147.48,2023/11/28,162.11,2023/11/28,7.1463,2023/11/27,0.775,2023/11/24,4.484,2023/11/24,75.18,2023/11/24,2003.7
2023/11/22,33451.83,2023/11/22,35273.03,2023/11/22,457.24,2023/11/24,3040.9717,2023/11/23,12.8,2023/11/27,148.67,2023/11/27,162.85,2023/11/27,7.1528,2023/11/24,0.771,2023/11/22,4.416,2023/11/22,76.82,2023/11/22,1991.5
2023/11/21,33354.14,2023/11/21,35088.29,2023/11/21,455.85,2023/11/23,3061.8562,2023/11/22,12.85,2023/11/24,149.44,2023/11/24,163.52,2023/11/24,7.1488,2023/11/22,0.731,2023/11/21,4.418,2023/11/21,77.81,2023/11/21,2000.3
2023/11/20,33388.03,2023/11/20,35151.04,2023/11/20,456.26,2023/11/22,3043.611,2023/11/21,13.35,2023/11/23,149.56,2023/11/23,163.09,2023/11/23,7.1455,2023/11/21,0.697,2023/11/20,4.422,2023/11/20,77.5,2023/11/20,1980.2
2023/11/17,33585.2,2023/11/17,34947.28,2023/11/17,455.82,2023/11/21,3067.9328,2023/11/20,13.41,2023/11/22,149.53,2023/11/22,162.84,2023/11/22,7.155,2023/11/20,0.744,2023/11/17,4.441,2023/11/17,75.84,2023/11/17,1983.5
