,日経平均,,NYダウ,,欧州（ストックス600）,,中国（上海総合）,,VIX指数（米国株の予想変動率）,,ドル/円,,ユーロ/円,,ドル/元,,日本,,米国,,原油（WTI）,,金（米先物）
↓,297.2000000000007,↑,112.63999999999942,↑,2.089999999999975,↑,32.28570000000036,↑,1.139999999999997,↓円安,0.5999999999999943,↓円安,0.539999999999992,↓元安,0.031200000000000117,↑,0.0010000000000000009,↓,0.0129999999999999,↓,1.2199999999999989,↓,4.7000000000000455
2023/01/16,25822.32,2023/01/13,34302.61,2023/01/16,454.63,2023/01/16,3227.5916,2023/01/16,19.49,2023/01/16,128.48,2023/01/16,139.04,2023/01/16,6.7322,2023/01/16,0.502,2023/01/13,3.498,2023/01/16,78.85,2023/01/16,1918.3
2023/01/13,26119.52,2023/01/12,34189.97,2023/01/13,452.54,2023/01/13,3195.3059,2023/01/13,18.35,2023/01/13,127.88,2023/01/13,138.5,2023/01/13,6.701,2023/01/16,0.501,2023/01/13,3.511,2023/01/13,80.07,2023/01/13,1923.0
2023/01/12,26449.82,2023/01/11,33973.01,2023/01/12,450.22,2023/01/12,3163.4509,2023/01/12,18.83,2023/01/12,129.22,2023/01/12,140.3,2023/01/12,6.7365,2023/01/13,0.506,2023/01/12,3.447,2023/01/12,78.26,2023/01/12,1900.2
2023/01/11,26446.0,2023/01/10,33704.1,2023/01/11,447.41,2023/01/11,3161.8376,2023/01/11,21.09,2023/01/11,132.47,2023/01/11,142.5,2023/01/11,6.77,2023/01/12,0.504,2023/01/11,3.556,2023/01/11,77.71,2023/01/11,1879.7
2023/01/10,26175.56,2023/01/09,33517.65,2023/01/10,445.71,2023/01/10,3169.5072,2023/01/10,20.58,2023/01/10,132.25,2023/01/10,141.95,2023/01/10,6.777,2023/01/11,0.501,2023/01/10,3.619,2023/01/10,74.71,2023/01/10,1881.3
2023/01/06,25973.85,2023/01/06,33630.61,2023/01/09,448.35,2023/01/09,3176.0845,2023/01/09,21.97,2023/01/09,131.88,2023/01/09,141.51,2023/01/09,6.77,2023/01/10,0.504,2023/01/09,3.517,2023/01/09,74.87,2023/01/09,1876.3
2023/01/05,25820.8,2023/01/05,32930.08,2023/01/06,444.42,2023/01/06,3157.6365,2023/01/06,21.13,2023/01/06,132.07,2023/01/06,140.58,2023/01/06,6.837,2023/01/06,0.5,2023/01/06,3.571,2023/01/06,73.73,2023/01/06,1870.5
2023/01/04,25716.86,2023/01/04,33269.77,2023/01/05,439.33,2023/01/05,3155.2162,2023/01/05,22.46,2023/01/05,133.4,2023/01/05,140.36,2023/01/05,6.88,2023/01/05,0.422,2023/01/05,3.722,2023/01/05,73.93,2023/01/05,1837.9
2022/12/30,26094.5,2023/01/03,33136.37,2023/01/04,440.19,2023/01/04,3123.5164,2023/01/04,22.01,2023/01/04,132.62,2023/01/04,140.62,2023/01/04,6.8875,2023/01/04,0.457,2023/01/04,3.709,2023/01/04,73.22,2023/01/04,1860.7
2022/12/29,26093.67,2022/12/30,33147.25,2023/01/03,434.18,2023/01/03,3116.5119,2023/01/03,22.9,2023/01/03,131.0,2023/01/03,138.18,2023/01/03,6.9135,2022/12/30,0.417,2023/01/03,3.792,2023/01/03,77.21,2023/01/03,1845.5
2022/12/28,26340.5,2022/12/29,33220.8,2023/01/02,428.95,2022/12/30,3089.2579,2022/12/30,21.67,2023/01/02,130.73,2023/01/02,139.45,2023/01/02,6.8972,2022/12/29,0.452,2022/12/30,3.831,2022/12/30,80.51,2022/12/30,1830.1
2022/12/27,26447.87,2022/12/28,32875.71,2022/12/30,424.89,2022/12/29,3073.7016,2022/12/29,21.44,2022/12/30,131.11,2022/12/30,140.3,2022/12/30,6.8972,2022/12/28,0.457,2022/12/29,3.835,2022/12/29,78.71,2022/12/29,1821.9
2022/12/26,26405.87,2022/12/27,33241.56,2022/12/29,430.35,2022/12/28,3087.3997,2022/12/28,22.14,2022/12/29,133.01,2022/12/29,141.81,2022/12/29,6.9625,2022/12/27,0.462,2022/12/28,3.886,2022/12/28,78.86,2022/12/28,1812.0
2022/12/23,26235.25,2022/12/23,33203.93,2022/12/28,427.46,2022/12/27,3095.5678,2022/12/27,21.65,2022/12/28,134.47,2022/12/28,142.69,2022/12/28,6.9774,2022/12/26,0.441,2022/12/27,3.858,2022/12/27,79.87,2022/12/27,1821.8
