,日経平均,,NYダウ,,欧州（ストックス600）,,中国（上海総合）,,VIX指数（米国株の予想変動率）,,ドル/円,,ユーロ/円,,ドル/元,,日本,,米国,,原油（WTI）,,金（米先物）
↓,326.16999999999825,↑,461.8799999999974,↑,2.0500000000000114,↑,2.4145999999996093,↓,0.3099999999999987,↑円高,0.9399999999999977,↑円高,1.9899999999999807,↑元高,0.009100000000000108,↓,0.001000000000000112,↑,0.01580000000000048,↑,1.2199999999999989,↑,19.0
2024/11/21,38026.17,2024/11/21,43870.35,2024/11/21,502.54,2024/11/21,3370.4039,2024/11/21,16.85,2024/11/21,154.49,2024/11/21,161.86,2024/11/21,7.2368,2024/11/21,1.095,2024/11/21,4.4218,2024/11/21,70.17,2024/11/21,2673.1
2024/11/20,38352.34,2024/11/20,43408.47,2024/11/20,500.49,2024/11/20,3367.9893,2024/11/20,17.16,2024/11/20,155.43,2024/11/20,163.85,2024/11/20,7.2459,2024/11/21,1.096,2024/11/20,4.406,2024/11/20,68.95,2024/11/20,2654.1
2024/11/19,38414.43,2024/11/19,43268.94,2024/11/19,500.6,2024/11/19,3346.0098,2024/11/19,16.35,2024/11/19,154.65,2024/11/19,163.85,2024/11/19,7.2385,2024/11/20,1.07,2024/11/19,4.379,2024/11/19,69.5,2024/11/19,2635.7
2024/11/18,38220.85,2024/11/18,43389.6,2024/11/18,502.84,2024/11/18,3323.8486,2024/11/18,15.58,2024/11/18,154.65,2024/11/18,163.9,2024/11/18,7.2364,2024/11/19,1.065,2024/11/18,4.414,2024/11/18,69.1,2024/11/18,2616.1
2024/11/15,38642.91,2024/11/15,43444.99,2024/11/15,503.12,2024/11/15,3330.7263,2024/11/15,16.14,2024/11/15,154.34,2024/11/15,162.64,2024/11/15,7.2309,2024/11/18,1.071,2024/11/15,4.426,2024/11/15,66.95,2024/11/15,2567.4
2024/11/14,38535.7,2024/11/14,43750.86,2024/11/14,507.03,2024/11/14,3379.8389,2024/11/14,14.31,2024/11/14,156.25,2024/11/14,164.54,2024/11/14,7.2272,2024/11/15,1.075,2024/11/14,4.42,2024/11/14,68.62,2024/11/14,2570.6
2024/11/13,38721.66,2024/11/13,43958.19,2024/11/13,501.59,2024/11/13,3439.2778,2024/11/13,14.02,2024/11/13,155.45,2024/11/13,164.21,2024/11/13,7.2245,2024/11/14,1.06,2024/11/13,4.451,2024/11/13,68.04,2024/11/13,2578.4
2024/11/12,39376.09,2024/11/12,43910.98,2024/11/12,502.23,2024/11/12,3421.9701,2024/11/12,14.71,2024/11/12,154.6,2024/11/12,164.23,2024/11/12,7.232,2024/11/13,1.045,2024/11/12,4.433,2024/11/12,67.97,2024/11/12,2604.7
2024/11/11,39533.32,2024/11/11,44293.13,2024/11/11,512.37,2024/11/11,3470.0657,2024/11/11,14.97,2024/11/11,153.71,2024/11/11,163.77,2024/11/11,7.2139,2024/11/12,1.005,2024/11/08,4.308,2024/11/11,68.15,2024/11/11,2626.1
