,日経平均,,NYダウ,,欧州（ストックス600）,,中国（上海総合）,,VIX指数（米国株の予想変動率）,,ドル/円,,ユーロ/円,,ドル/元,,日本,,米国,,原油（WTI）,,金（米先物）
↓,199.46999999999753,↑,1.5800000000017462,↓,2.7200000000000273,↓,12.91399999999976,↑,0.4499999999999993,↑円高,0.6000000000000227,↑円高,0.020000000000010232,↑元高,0.023299999999999876,→,0.0,↓,0.0924999999999998,↓,2.030000000000001,↑,16.200000000000045
2022/12/07,27686.4,2022/12/07,33597.92,2022/12/07,436.2,2022/12/07,3199.6194,2022/12/07,22.62,2022/12/07,136.45,2022/12/07,143.41,2022/12/07,6.9702,2022/12/07,0.251,2022/12/07,3.4205,2022/12/07,72.42,2022/12/07,1799.5
2022/12/06,27885.87,2022/12/06,33596.34,2022/12/06,438.92,2022/12/06,3212.5334,2022/12/06,22.17,2022/12/06,137.05,2022/12/06,143.43,2022/12/06,6.9935,2022/12/06,0.251,2022/12/06,3.513,2022/12/06,74.45,2022/12/06,1783.3
2022/12/05,27820.4,2022/12/05,33947.1,2022/12/05,441.47,2022/12/05,3211.8144,2022/12/05,20.75,2022/12/05,136.74,2022/12/05,143.5,2022/12/05,6.961,2022/12/05,0.253,2022/12/05,3.599,2022/12/05,77.37,2022/12/05,1781.5
2022/12/02,27777.9,2022/12/02,34429.88,2022/12/02,443.29,2022/12/02,3156.1442,2022/12/02,19.06,2022/12/02,134.3,2022/12/02,141.53,2022/12/02,7.019,2022/12/02,0.255,2022/12/02,3.503,2022/12/02,80.34,2022/12/02,1811.4
2022/12/01,28226.08,2022/12/01,34395.01,2022/12/01,443.96,2022/12/01,3165.4711,2022/12/01,19.84,2022/12/01,135.27,2022/12/01,142.42,2022/12/01,7.0424,2022/12/01,0.256,2022/12/01,3.527,2022/12/01,81.41,2022/12/01,1817.4
2022/11/30,27968.99,2022/11/30,34589.77,2022/11/30,440.04,2022/11/30,3151.3353,2022/11/30,20.58,2022/11/30,138.03,2022/11/30,143.65,2022/11/30,7.0879,2022/11/30,0.251,2022/11/30,3.701,2022/11/30,80.49,2022/11/30,1782.9
2022/11/29,28027.84,2022/11/29,33852.53,2022/11/29,437.29,2022/11/29,3149.7478,2022/11/29,21.89,2022/11/29,138.68,2022/11/29,143.26,2022/11/29,7.1568,2022/11/29,0.252,2022/11/29,3.748,2022/11/29,78.91,2022/11/29,1748.3
2022/11/28,28162.83,2022/11/28,33849.46,2022/11/28,437.85,2022/11/28,3078.5485,2022/11/28,22.21,2022/11/28,138.94,2022/11/28,143.64,2022/11/28,7.2074,2022/11/28,0.251,2022/11/28,3.702,2022/11/28,76.54,2022/11/28,1740.3
2022/11/25,28283.03,2022/11/25,34347.03,2022/11/25,440.73,2022/11/25,3101.6932,2022/11/25,20.5,2022/11/25,139.1,2022/11/25,144.75,2022/11/25,7.1642,2022/11/25,0.251,2022/11/25,3.702,2022/11/25,76.55,2022/11/25,1755.0
2022/11/24,28383.09,2022/11/23,34194.06,2022/11/24,440.84,2022/11/24,3089.3096,2022/11/24,20.42,2022/11/24,138.61,2022/11/24,144.3,2022/11/24,7.15,2022/11/24,0.245,2022/11/23,3.709,2022/11/23,77.45,2022/11/23,1750.5
2022/11/22,28115.74,2022/11/22,34098.1,2022/11/23,438.82,2022/11/23,3096.9073,2022/11/23,20.35,2022/11/23,139.59,2022/11/23,145.11,2022/11/23,7.158,2022/11/22,0.246,2022/11/22,3.758,2022/11/22,81.1,2022/11/22,1740.8
2022/11/21,27944.79,2022/11/21,33700.28,2022/11/22,436.22,2022/11/22,3088.9426,2022/11/22,21.29,2022/11/22,141.24,2022/11/22,145.5,2022/11/22,7.1388,2022/11/21,0.246,2022/11/21,3.827,2022/11/21,79.74,2022/11/21,1739.5
2022/11/18,27899.77,2022/11/18,33745.69,2022/11/21,433.06,2022/11/21,3085.0444,2022/11/21,22.36,2022/11/21,142.12,2022/11/21,145.54,2022/11/21,7.164,2022/11/18,0.246,2022/11/18,3.818,2022/11/18,80.11,2022/11/18,1752.0
2022/11/17,27930.57,2022/11/17,33546.32,2022/11/18,433.33,2022/11/18,3097.2432,2022/11/18,23.12,2022/11/18,140.35,2022/11/18,144.92,2022/11/18,7.1192,2022/11/17,0.245,2022/11/17,3.773,2022/11/17,82.06,2022/11/17,1762.8
2022/11/16,28028.3,2022/11/16,33553.83,2022/11/17,428.38,2022/11/17,3115.4347,2022/11/17,23.93,2022/11/17,140.18,2022/11/17,145.29,2022/11/17,7.1551,2022/11/16,0.245,2022/11/16,3.694,2022/11/16,85.32,2022/11/16,1777.0
2022/11/15,27990.17,2022/11/15,33592.92,2022/11/16,430.17,2022/11/16,3119.9804,2022/11/16,24.11,2022/11/16,139.55,2022/11/16,145.02,2022/11/16,7.0849,2022/11/15,0.245,2022/11/15,3.799,2022/11/15,86.82,2022/11/15,1782.2
2022/11/14,27963.47,2022/11/14,33536.7,2022/11/15,434.44,2022/11/15,3134.0778,2022/11/15,24.54,2022/11/15,139.29,2022/11/15,144.14,2022/11/15,7.044,2022/11/14,0.245,2022/11/14,3.867,2022/11/14,85.21,2022/11/14,1774.7
2022/11/11,28263.57,2022/11/11,33747.86,2022/11/14,432.86,2022/11/14,3083.4013,2022/11/14,23.73,2022/11/14,139.88,2022/11/14,144.44,2022/11/14,7.071,2022/11/11,0.236,2022/11/10,3.829,2022/11/11,88.86,2022/11/11,1774.2
2022/11/10,27446.1,2022/11/10,33715.37,2022/11/11,432.26,2022/11/11,3087.2926,2022/11/11,22.52,2022/11/11,138.79,2022/11/11,143.69,2022/11/11,7.1066,2022/11/10,0.251,2022/11/09,4.151,2022/11/10,86.21,2022/11/10,1759.0
2022/11/09,27716.43,2022/11/09,32513.94,2022/11/10,431.89,2022/11/10,3036.1318,2022/11/10,23.53,2022/11/10,140.95,2022/11/10,143.9,2022/11/10,7.184,2022/11/09,0.25,2022/11/08,4.128,2022/11/09,85.64,2022/11/09,1709.7
2022/11/08,27872.11,2022/11/08,33160.83,2022/11/09,420.34,2022/11/09,3048.1676,2022/11/09,26.09,2022/11/09,146.44,2022/11/09,146.56,2022/11/09,7.2401,2022/11/08,0.251,2022/11/07,4.214,2022/11/08,88.67,2022/11/08,1715.8
2022/11/07,27527.64,2022/11/07,32827.0,2022/11/08,421.61,2022/11/08,3064.4928,2022/11/08,25.54,2022/11/08,145.66,2022/11/08,146.72,2022/11/08,7.2485,2022/11/07,0.25,2022/11/04,4.158,2022/11/07,91.87,2022/11/07,1678.5
2022/11/04,27199.74,2022/11/04,32403.22,2022/11/07,418.34,2022/11/07,3077.817,2022/11/07,24.35,2022/11/07,146.62,2022/11/07,146.91,2022/11/07,7.2266,2022/11/04,0.251,2022/11/03,4.124,2022/11/04,92.6,2022/11/04,1685.7
2022/11/02,27663.39,2022/11/03,32001.25,2022/11/04,416.98,2022/11/04,3070.7964,2022/11/04,24.55,2022/11/04,146.59,2022/11/04,145.99,2022/11/04,7.1826,2022/11/02,0.25,2022/11/02,4.061,2022/11/03,87.95,2022/11/03,1632.1
2022/11/01,27678.92,2022/11/02,32147.76,2022/11/03,409.55,2022/11/03,2997.8057,2022/11/03,25.3,2022/11/03,148.27,2022/11/03,144.55,2022/11/03,7.3,2022/11/01,0.25,2022/11/01,4.052,2022/11/02,89.35,2022/11/02,1637.7
2022/10/31,27587.46,2022/11/01,32653.2,2022/11/02,413.39,2022/11/02,3003.3699,2022/11/02,25.86,2022/11/02,147.9,2022/11/02,145.23,2022/11/02,7.289,2022/10/31,0.246,2022/10/31,4.077,2022/11/01,88.57,2022/11/01,1651.0
2022/10/28,27105.2,2022/10/31,32732.95,2022/11/01,414.61,2022/11/01,2969.1995,2022/11/01,25.81,2022/11/01,148.28,2022/11/01,146.37,2022/11/01,7.273,2022/10/28,0.246,2022/10/28,4.01,2022/10/31,86.21,2022/10/31,1636.4
2022/10/27,27345.24,2022/10/28,32861.8,2022/10/31,412.2,2022/10/31,2893.4829,2022/10/31,25.88,2022/10/31,148.71,2022/10/31,146.99,2022/10/31,7.3015,2022/10/27,0.256,2022/10/27,3.939,2022/10/28,88.38,2022/10/28,1648.3
2022/10/26,27431.84,2022/10/27,32033.28,2022/10/28,410.76,2022/10/28,2915.9257,2022/10/28,25.75,2022/10/28,147.45,2022/10/28,146.93,2022/10/28,7.2499,2022/10/26,0.25,2022/10/26,4.015,2022/10/27,88.6,2022/10/27,1667.4
2022/10/25,27250.28,2022/10/26,31839.11,2022/10/27,410.19,2022/10/27,2982.9029,2022/10/27,27.39,2022/10/27,146.27,2022/10/27,145.75,2022/10/27,7.2239,2022/10/25,0.255,2022/10/25,4.11,2022/10/26,88.26,2022/10/26,1668.8
