,日経平均,,NYダウ,,欧州（ストックス600）,,中国（上海総合）,,VIX指数（米国株の予想変動率）,,ドル/円,,ユーロ/円,,ドル/元,,日本,,米国,,原油（WTI）,,金（米先物）
↑,568.5800000000017,↑,38.169999999998254,↓,7.409999999999968,↑,0.791700000000219,↓,0.17999999999999972,↓円安,1.289999999999992,↓円安,1.4399999999999977,↑元高,0.01699999999999946,↓,0.031000000000000028,↑,0.0012999999999996348,↓,0.29999999999999716,↑,35.40000000000009
2024/09/20,37723.91,2024/09/20,42063.36,2024/09/20,514.26,2024/09/20,2736.8139,2024/09/20,16.15,2024/09/20,143.91,2024/09/20,160.63,2024/09/20,7.0505,2024/09/20,0.835,2024/09/20,3.7413,2024/09/20,71.77,2024/09/20,2647.1
2024/09/19,37155.33,2024/09/19,42025.19,2024/09/19,521.67,2024/09/19,2736.0222,2024/09/19,16.33,2024/09/19,142.62,2024/09/19,159.19,2024/09/19,7.0675,2024/09/20,0.866,2024/09/19,3.74,2024/09/19,72.07,2024/09/19,2611.7
2024/09/18,36380.17,2024/09/18,41503.1,2024/09/18,514.59,2024/09/18,2717.2813,2024/09/18,18.23,2024/09/18,142.27,2024/09/18,158.18,2024/09/18,7.0812,2024/09/19,0.855,2024/09/18,3.687,2024/09/18,70.16,2024/09/18,2584.8
2024/09/17,36203.22,2024/09/17,41606.18,2024/09/17,517.19,2024/09/13,2704.0896,2024/09/17,17.61,2024/09/17,142.4,2024/09/17,158.24,2024/09/17,7.093,2024/09/18,0.826,2024/09/17,3.642,2024/09/17,71.13,2024/09/17,2596.4
2024/09/13,36581.76,2024/09/16,41622.08,2024/09/16,515.11,2024/09/12,2717.1231,2024/09/16,17.14,2024/09/16,140.6,2024/09/16,156.53,2024/09/16,7.093,2024/09/17,0.826,2024/09/16,3.621,2024/09/16,70.5,2024/09/16,2610.0
2024/09/12,36833.27,2024/09/13,41393.78,2024/09/13,515.95,2024/09/11,2721.7952,2024/09/13,16.56,2024/09/13,140.82,2024/09/13,155.97,2024/09/13,7.093,2024/09/13,0.841,2024/09/13,3.649,2024/09/13,69.24,2024/09/13,2606.2
2024/09/11,35619.77,2024/09/12,41096.77,2024/09/12,512.08,2024/09/10,2744.1921,2024/09/12,17.07,2024/09/12,141.79,2024/09/12,157.04,2024/09/12,7.1172,2024/09/12,0.861,2024/09/12,3.68,2024/09/12,69.18,2024/09/12,2587.2
2024/09/10,36159.16,2024/09/11,40861.71,2024/09/11,508.02,2024/09/09,2736.4876,2024/09/11,17.69,2024/09/11,142.35,2024/09/11,156.75,2024/09/11,7.1192,2024/09/11,0.851,2024/09/11,3.653,2024/09/11,67.38,2024/09/11,2540.2
2024/09/09,36215.75,2024/09/10,40736.96,2024/09/10,507.95,2024/09/06,2765.8066,2024/09/10,19.08,2024/09/10,142.43,2024/09/10,156.95,2024/09/10,7.1205,2024/09/10,0.891,2024/09/10,3.644,2024/09/10,66.31,2024/09/10,2545.7
2024/09/06,36391.47,2024/09/09,40829.59,2024/09/09,510.7,2024/09/05,2788.3141,2024/09/09,19.45,2024/09/09,143.17,2024/09/09,157.97,2024/09/09,7.1133,2024/09/09,0.891,2024/09/09,3.699,2024/09/09,68.8,2024/09/09,2535.5
