,日経平均,,NYダウ,,欧州（ストックス600）,,中国（上海総合）,,VIX指数（米国株の予想変動率）,,ドル/円,,ユーロ/円,,ドル/元,,日本,,米国,,原油（WTI）,,金（米先物）
↑,349.15999999999985,↓,336.99000000000524,↓,4.800000000000011,↓,20.317299999999705,↑,0.5,↓円安,1.710000000000008,↓円安,1.200000000000017,↓元安,0.0470000000000006,↑,0.0020000000000000018,↑,0.06610000000000005,↑,0.9399999999999977,↓,11.199999999999818
2023/02/24,27453.48,2023/02/24,32816.92,2023/02/24,457.7,2023/02/24,3267.1597,2023/02/24,21.64,2023/02/24,136.41,2023/02/24,143.9,2023/02/24,6.9545,2023/02/24,0.503,2023/02/24,3.9471,2023/02/24,76.59,2023/02/24,1818.4
2023/02/22,27104.32,2023/02/23,33153.91,2023/02/23,462.5,2023/02/23,3287.477,2023/02/23,21.14,2023/02/23,134.7,2023/02/23,142.7,2023/02/23,6.9075,2023/02/24,0.501,2023/02/23,3.881,2023/02/23,75.65,2023/02/23,1829.6
2023/02/21,27473.1,2023/02/22,33045.09,2023/02/22,462.22,2023/02/22,3291.1477,2023/02/22,22.29,2023/02/22,134.9,2023/02/22,143.1,2023/02/22,6.8908,2023/02/22,0.502,2023/02/22,3.923,2023/02/22,73.85,2023/02/22,1834.2
2023/02/20,27531.94,2023/02/21,33129.59,2023/02/21,463.77,2023/02/21,3306.5236,2023/02/21,22.87,2023/02/21,134.99,2023/02/21,143.77,2023/02/21,6.87,2023/02/21,0.505,2023/02/21,3.953,2023/02/21,76.05,2023/02/21,1844.0
2023/02/17,27513.13,2023/02/17,33826.69,2023/02/20,464.64,2023/02/20,3290.3383,2023/02/20,21.23,2023/02/20,134.23,2023/02/20,143.46,2023/02/20,6.8541,2023/02/20,0.5,2023/02/17,3.828,2023/02/17,76.33,2023/02/17,1851.3
2023/02/16,27696.44,2023/02/16,33696.85,2023/02/17,464.3,2023/02/17,3224.0243,2023/02/17,20.02,2023/02/17,134.15,2023/02/17,143.43,2023/02/17,6.8661,2023/02/17,0.502,2023/02/16,3.843,2023/02/16,78.07,2023/02/16,1845.3
2023/02/15,27501.86,2023/02/15,34128.05,2023/02/16,465.24,2023/02/16,3249.0295,2023/02/16,20.17,2023/02/16,133.94,2023/02/16,142.95,2023/02/16,6.859,2023/02/16,0.5,2023/02/15,3.807,2023/02/15,78.5,2023/02/15,1846.6
2023/02/14,27602.77,2023/02/14,34089.27,2023/02/15,464.36,2023/02/15,3280.4919,2023/02/15,18.23,2023/02/15,134.11,2023/02/15,143.39,2023/02/15,6.851,2023/02/15,0.501,2023/02/14,3.761,2023/02/14,78.84,2023/02/14,1864.8
2023/02/13,27427.32,2023/02/13,34245.93,2023/02/14,462.4,2023/02/14,3293.2825,2023/02/14,18.91,2023/02/14,133.11,2023/02/14,142.89,2023/02/14,6.8255,2023/02/14,0.5,2023/02/13,3.719,2023/02/13,79.16,2023/02/13,1864.3
2023/02/10,27670.98,2023/02/10,33869.27,2023/02/13,462.03,2023/02/13,3284.1599,2023/02/13,20.34,2023/02/13,132.4,2023/02/13,141.98,2023/02/13,6.8215,2023/02/13,0.5,2023/02/10,3.743,2023/02/10,79.76,2023/02/10,1876.4
2023/02/09,27584.35,2023/02/09,33699.88,2023/02/10,457.89,2023/02/10,3260.6734,2023/02/10,20.53,2023/02/10,131.41,2023/02/10,140.27,2023/02/10,6.807,2023/02/10,0.496,2023/02/09,3.683,2023/02/09,77.66,2023/02/09,1873.4
2023/02/08,27606.46,2023/02/08,33949.01,2023/02/09,462.31,2023/02/09,3270.3826,2023/02/09,20.71,2023/02/09,131.56,2023/02/09,141.27,2023/02/09,6.7782,2023/02/09,0.493,2023/02/08,3.653,2023/02/08,78.48,2023/02/08,1888.2
2023/02/07,27685.47,2023/02/07,34156.69,2023/02/08,459.46,2023/02/08,3232.1063,2023/02/08,19.63,2023/02/08,131.37,2023/02/08,140.79,2023/02/08,6.7872,2023/02/08,0.491,2023/02/07,3.674,2023/02/07,77.59,2023/02/07,1885.1
2023/02/06,27693.65,2023/02/06,33891.02,2023/02/07,458.19,2023/02/07,3248.094,2023/02/07,18.66,2023/02/07,131.05,2023/02/07,140.62,2023/02/07,6.791,2023/02/07,0.495,2023/02/06,3.632,2023/02/06,74.46,2023/02/06,1880.2
2023/02/03,27509.46,2023/02/03,33926.01,2023/02/06,457.16,2023/02/06,3238.6978,2023/02/06,19.43,2023/02/06,132.65,2023/02/06,142.24,2023/02/06,6.7918,2023/02/06,0.495,2023/02/03,3.532,2023/02/03,73.23,2023/02/03,1877.7
2023/02/02,27402.05,2023/02/02,34053.94,2023/02/03,460.77,2023/02/03,3263.4059,2023/02/03,18.33,2023/02/03,131.17,2023/02/03,141.59,2023/02/03,6.7733,2023/02/03,0.486,2023/02/02,3.398,2023/02/02,76.0,2023/02/02,1927.1
2023/02/01,27346.88,2023/02/01,34092.96,2023/02/02,459.2,2023/02/02,3285.6705,2023/02/02,18.73,2023/02/02,128.65,2023/02/02,140.41,2023/02/02,6.7289,2023/02/02,0.495,2023/02/01,3.398,2023/02/01,76.7,2023/02/01,1966.8
2023/01/31,27327.11,2023/01/31,34086.04,2023/02/01,453.09,2023/02/01,3284.9213,2023/02/01,17.87,2023/02/01,128.93,2023/02/01,141.67,2023/02/01,6.7406,2023/02/01,0.48,2023/01/31,3.529,2023/01/31,79.03,2023/01/31,1943.8
2023/01/30,27433.4,2023/01/30,33717.09,2023/01/31,453.21,2023/01/31,3255.6692,2023/01/31,19.4,2023/01/31,130.09,2023/01/31,141.31,2023/01/31,6.754,2023/01/31,0.49,2023/01/30,3.551,2023/01/30,77.81,2023/01/30,1922.5
2023/01/27,27382.56,2023/01/27,33978.08,2023/01/30,454.4,2023/01/30,3269.318,2023/01/30,19.94,2023/01/30,130.44,2023/01/30,141.53,2023/01/30,6.748,2023/01/30,0.471,2023/01/27,3.518,2023/01/27,79.38,2023/01/27,1927.6
2023/01/26,27362.75,2023/01/26,33949.41,2023/01/27,455.17,2023/01/20,3264.8138,2023/01/27,18.51,2023/01/27,129.85,2023/01/27,141.11,2023/01/27,6.7825,2023/01/27,0.482,2023/01/26,3.491,2023/01/26,81.1,2023/01/26,1929.7
2023/01/25,27395.01,2023/01/25,33743.84,2023/01/26,453.98,2023/01/19,3240.2794,2023/01/26,18.73,2023/01/26,130.21,2023/01/26,141.83,2023/01/26,6.7825,2023/01/26,0.459,2023/01/25,3.462,2023/01/25,80.44,2023/01/25,1947.3
2023/01/24,27299.19,2023/01/24,33733.96,2023/01/25,452.07,2023/01/18,3224.406,2023/01/25,19.08,2023/01/25,129.59,2023/01/25,141.42,2023/01/25,6.7825,2023/01/25,0.437,2023/01/24,3.467,2023/01/24,80.26,2023/01/24,1938.7
2023/01/23,26906.04,2023/01/23,33629.56,2023/01/24,453.38,2023/01/17,3224.2448,2023/01/24,19.2,2023/01/24,130.15,2023/01/24,141.7,2023/01/24,6.7825,2023/01/24,0.408,2023/01/23,3.523,2023/01/23,81.62,2023/01/23,1932.0
2023/01/20,26553.53,2023/01/20,33375.49,2023/01/23,454.49,2023/01/16,3227.5916,2023/01/23,19.81,2023/01/23,130.66,2023/01/23,142.04,2023/01/23,6.7825,2023/01/23,0.381,2023/01/20,3.484,2023/01/20,81.4,2023/01/20,1927.7
2023/01/19,26405.23,2023/01/19,33044.56,2023/01/20,452.12,2023/01/13,3195.3059,2023/01/20,19.85,2023/01/20,129.57,2023/01/20,140.64,2023/01/20,6.7825,2023/01/20,0.401,2023/01/19,3.399,2023/01/19,80.58,2023/01/19,1933.8
2023/01/18,26791.12,2023/01/18,33296.96,2023/01/19,450.45,2023/01/12,3163.4509,2023/01/19,20.52,2023/01/19,128.42,2023/01/19,139.1,2023/01/19,6.7738,2023/01/19,0.407,2023/01/18,3.375,2023/01/18,79.14,2023/01/18,1906.3
2023/01/17,26138.68,2023/01/17,33910.85,2023/01/18,457.53,2023/01/11,3161.8376,2023/01/18,20.34,2023/01/18,128.88,2023/01/18,139.16,2023/01/18,6.745,2023/01/18,0.414,2023/01/17,3.535,2023/01/17,81.04,2023/01/17,1911.2
2023/01/16,25822.32,2023/01/13,34302.61,2023/01/17,456.46,2023/01/10,3169.5072,2023/01/17,19.36,2023/01/17,128.13,2023/01/17,138.22,2023/01/17,6.7723,2023/01/17,0.505,2023/01/13,3.511,2023/01/13,80.07,2023/01/13,1923.0
2023/01/13,26119.52,2023/01/12,34189.97,2023/01/16,454.63,2023/01/09,3176.0845,2023/01/16,19.49,2023/01/16,128.54,2023/01/16,139.07,2023/01/16,6.7322,2023/01/16,0.501,2023/01/12,3.447,2023/01/12,78.26,2023/01/12,1900.2
