,日経平均,,NYダウ,,欧州（ストックス600）,,中国（上海総合）,,VIX指数（米国株の予想変動率）,,ドル/円,,ユーロ/円,,ドル/元,,日本,,米国,,原油（WTI）,,金（米先物）
↑,678.5400000000009,↑,170.5699999999997,↓,0.839999999999975,↓,15.548999999999978,↓,0.049999999999998934,↓円安,1.289999999999992,↓円安,1.960000000000008,↓元安,0.0026999999999999247,↑,0.0040000000000000036,↑,0.01699999999999946,↓,0.9500000000000028,↓,7.0
2024/01/10,34441.72,2024/01/10,37695.73,2024/01/10,476.42,2024/01/10,2877.7023,2024/01/10,12.71,2024/01/10,145.76,2024/01/10,159.87,2024/01/10,7.1711,2024/01/10,0.587,2024/01/10,4.034,2024/01/10,71.28,2024/01/10,2028.9
2024/01/09,33763.18,2024/01/09,37525.16,2024/01/09,477.26,2024/01/09,2893.2513,2024/01/09,12.76,2024/01/09,144.47,2024/01/09,157.91,2024/01/09,7.1684,2024/01/09,0.583,2024/01/09,4.017,2024/01/09,72.23,2024/01/09,2035.9
2024/01/05,33377.42,2024/01/08,37683.01,2024/01/08,478.18,2024/01/08,2887.5379,2024/01/08,13.08,2024/01/08,144.22,2024/01/08,157.92,2024/01/08,7.154,2024/01/05,0.601,2024/01/08,4.002,2024/01/08,70.92,2024/01/08,2034.1
2024/01/04,33288.29,2024/01/05,37466.11,2024/01/05,476.38,2024/01/05,2929.1833,2024/01/05,13.35,2024/01/05,144.65,2024/01/05,158.23,2024/01/05,7.1395,2024/01/04,0.617,2024/01/05,4.042,2024/01/05,73.95,2024/01/05,2052.6
2023/12/29,33464.17,2024/01/04,37440.34,2024/01/04,477.68,2024/01/04,2954.3486,2024/01/04,14.13,2024/01/04,144.62,2024/01/04,158.27,2024/01/04,7.1589,2023/12/29,0.616,2024/01/04,3.991,2024/01/04,72.4,2024/01/04,2051.0
2023/12/28,33539.62,2024/01/03,37430.19,2024/01/03,474.4,2024/01/03,2967.2472,2024/01/03,14.04,2024/01/03,143.29,2024/01/03,156.47,2024/01/03,7.1497,2023/12/28,0.59,2024/01/03,3.907,2024/01/03,73.02,2024/01/03,2049.6
2023/12/27,33681.24,2024/01/02,37715.04,2024/01/02,478.51,2024/01/02,2962.2762,2024/01/02,13.2,2024/01/02,141.98,2024/01/02,155.35,2024/01/02,7.1426,2023/12/27,0.601,2024/01/02,3.944,2024/01/02,70.5,2024/01/02,2067.6
2023/12/26,33305.85,2023/12/29,37689.54,2023/12/29,478.99,2023/12/29,2974.9348,2023/12/29,12.45,2024/01/01,140.87,2024/01/01,155.66,2024/01/01,7.0978,2023/12/26,0.633,2023/12/29,3.86,2023/12/29,71.33,2023/12/29,2071.8
2023/12/25,33254.03,2023/12/28,37710.1,2023/12/28,478.08,2023/12/28,2954.7035,2023/12/28,12.47,2023/12/29,141.06,2023/12/29,155.63,2023/12/29,7.0978,2023/12/25,0.615,2023/12/28,3.85,2023/12/28,72.04,2023/12/28,2075.7
2023/12/22,33169.05,2023/12/27,37656.52,2023/12/27,478.62,2023/12/27,2914.6138,2023/12/27,12.43,2023/12/28,141.39,2023/12/28,156.43,2023/12/28,7.108,2023/12/22,0.625,2023/12/27,3.789,2023/12/27,73.82,2023/12/27,2089.4
2023/12/21,33140.47,2023/12/26,37545.33,2023/12/22,477.6,2023/12/26,2898.8787,2023/12/26,12.99,2023/12/27,141.83,2023/12/27,157.49,2023/12/27,7.1405,2023/12/21,0.581,2023/12/26,3.886,2023/12/26,75.43,2023/12/26,2079.2
2023/12/20,33675.94,2023/12/22,37385.97,2023/12/21,476.94,2023/12/25,2918.8126,2023/12/22,13.03,2023/12/26,142.38,2023/12/26,157.23,2023/12/26,7.1432,2023/12/20,0.554,2023/12/22,3.908,2023/12/22,73.49,2023/12/22,2064.5
2023/12/19,33219.39,2023/12/21,37404.35,2023/12/20,477.94,2023/12/22,2914.7752,2023/12/21,13.65,2023/12/25,142.34,2023/12/25,156.85,2023/12/25,7.1361,2023/12/19,0.64,2023/12/21,3.894,2023/12/21,73.93,2023/12/21,2057.8
2023/12/18,32758.98,2023/12/20,37082.0,2023/12/19,477.04,2023/12/21,2918.7149,2023/12/20,13.67,2023/12/22,142.41,2023/12/22,156.83,2023/12/22,7.1315,2023/12/18,0.67,2023/12/20,3.877,2023/12/20,73.82,2023/12/20,2044.4
2023/12/15,32970.55,2023/12/19,37557.92,2023/12/18,475.32,2023/12/20,2902.1096,2023/12/19,12.53,2023/12/21,142.1,2023/12/21,156.43,2023/12/21,7.1381,2023/12/15,0.711,2023/12/19,3.922,2023/12/19,73.58,2023/12/19,2053.8
2023/12/14,32686.25,2023/12/18,37306.02,2023/12/15,476.61,2023/12/19,2932.3908,2023/12/18,12.56,2023/12/20,143.56,2023/12/20,157.07,2023/12/20,7.1355,2023/12/14,0.676,2023/12/18,3.956,2023/12/18,72.56,2023/12/18,2041.2
2023/12/13,32926.35,2023/12/15,37305.16,2023/12/14,476.57,2023/12/18,2930.8036,2023/12/15,12.28,2023/12/19,143.82,2023/12/19,157.92,2023/12/19,7.1287,2023/12/13,0.69,2023/12/15,3.928,2023/12/15,71.79,2023/12/15,2033.8
2023/12/12,32843.7,2023/12/14,37248.35,2023/12/13,472.46,2023/12/15,2942.5568,2023/12/14,12.48,2023/12/18,142.74,2023/12/18,155.95,2023/12/18,7.1335,2023/12/12,0.735,2023/12/14,3.93,2023/12/14,71.65,2023/12/14,2051.3
2023/12/11,32791.8,2023/12/13,37090.24,2023/12/12,472.72,2023/12/14,2958.9856,2023/12/13,12.19,2023/12/15,142.15,2023/12/15,154.88,2023/12/15,7.1179,2023/12/11,0.776,2023/12/13,4.033,2023/12/13,69.87,2023/12/13,2043.1
