,日経平均,,NYダウ,,欧州（ストックス600）,,中国（上海総合）,,VIX指数（米国株の予想変動率）,,ドル/円,,ユーロ/円,,ドル/元,,日本,,米国,,原油（WTI）,,金（米先物）
↓,711.0599999999977,↑,127.17000000000553,↓,0.6200000000000045,↑,3.159700000000157,↓,1.2000000000000028,↑円高,0.0800000000000125,↑円高,0.030000000000001137,→,0.0,↓,0.0030000000000000027,↓,0.06699999999999928,↓,5.010000000000005,↓,2.2000000000000455
2023/10/04,30526.88,2023/10/04,33129.55,2023/10/04,440.08,2023/09/28,3110.4753,2023/10/04,18.58,2023/10/04,149.04,2023/10/04,156.59,2023/10/04,7.301,2023/10/04,0.803,2023/10/04,4.735,2023/10/04,84.44,2023/10/04,1836.7
2023/10/03,31237.94,2023/10/03,33002.38,2023/10/03,440.7,2023/09/27,3107.3156,2023/10/03,19.78,2023/10/04,149.12,2023/10/04,156.62,2023/10/03,7.301,2023/10/04,0.806,2023/10/03,4.802,2023/10/03,89.45,2023/10/03,1838.9
2023/10/02,31759.88,2023/10/02,33433.35,2023/10/02,445.59,2023/09/26,3102.2726,2023/10/02,17.61,2023/10/03,149.02,2023/10/03,155.93,2023/10/02,7.301,2023/10/03,0.762,2023/10/02,4.683,2023/10/02,88.62,2023/10/02,1844.1
2023/09/29,31857.62,2023/09/29,33507.5,2023/09/29,450.22,2023/09/25,3115.6071,2023/09/29,17.52,2023/10/02,149.85,2023/10/02,157.0,2023/09/29,7.301,2023/10/02,0.777,2023/09/29,4.571,2023/09/29,90.77,2023/09/29,1864.6
2023/09/28,31872.52,2023/09/28,33666.34,2023/09/28,448.5,2023/09/22,3132.4316,2023/09/28,17.34,2023/09/29,149.35,2023/09/29,157.89,2023/09/28,7.301,2023/09/29,0.771,2023/09/28,4.597,2023/09/28,91.81,2023/09/28,1881.7
2023/09/27,32371.9,2023/09/27,33550.27,2023/09/27,446.91,2023/09/21,3084.701,2023/09/27,18.22,2023/09/28,149.29,2023/09/28,157.74,2023/09/27,7.3105,2023/09/28,0.756,2023/09/27,4.626,2023/09/27,93.71,2023/09/27,1893.2
2023/09/26,32315.05,2023/09/26,33618.88,2023/09/26,447.7,2023/09/20,3108.5679,2023/09/26,18.94,2023/09/27,149.63,2023/09/27,157.14,2023/09/26,7.31,2023/09/27,0.741,2023/09/26,4.558,2023/09/26,90.54,2023/09/26,1919.0
2023/09/25,32678.62,2023/09/25,34006.88,2023/09/25,450.44,2023/09/19,3124.9567,2023/09/25,16.9,2023/09/26,149.05,2023/09/26,157.58,2023/09/25,7.311,2023/09/26,0.745,2023/09/25,4.542,2023/09/25,89.88,2023/09/25,1934.9
2023/09/22,32402.41,2023/09/22,33963.84,2023/09/22,453.26,2023/09/18,3125.9319,2023/09/22,17.2,2023/09/25,148.88,2023/09/25,157.71,2023/09/22,7.298,2023/09/25,0.73,2023/09/22,4.44,2023/09/22,90.33,2023/09/22,1944.9
2023/09/21,32571.03,2023/09/21,34070.42,2023/09/21,454.67,2023/09/15,3117.7434,2023/09/21,17.54,2023/09/22,148.37,2023/09/22,157.93,2023/09/21,7.3066,2023/09/22,0.746,2023/09/21,4.48,2023/09/21,89.58,2023/09/21,1939.9
2023/09/20,33023.78,2023/09/20,34440.88,2023/09/20,460.66,2023/09/14,3126.5511,2023/09/20,15.14,2023/09/21,147.58,2023/09/21,157.33,2023/09/20,7.287,2023/09/21,0.746,2023/09/20,4.347,2023/09/20,90.27,2023/09/20,1951.3
2023/09/19,33242.59,2023/09/19,34517.73,2023/09/19,456.52,2023/09/13,3123.0669,2023/09/19,14.11,2023/09/20,148.33,2023/09/20,158.12,2023/09/19,7.297,2023/09/20,0.725,2023/09/19,4.367,2023/09/19,91.59,2023/09/19,1952.6
2023/09/15,33533.09,2023/09/18,34624.3,2023/09/18,456.72,2023/09/12,3137.0593,2023/09/18,14.0,2023/09/19,147.86,2023/09/19,157.89,2023/09/18,7.2915,2023/09/19,0.721,2023/09/18,4.319,2023/09/18,92.25,2023/09/18,1955.2
2023/09/14,33168.1,2023/09/15,34618.24,2023/09/15,461.93,2023/09/11,3142.779,2023/09/15,13.79,2023/09/18,147.6,2023/09/18,157.81,2023/09/15,7.2744,2023/09/15,0.705,2023/09/15,4.322,2023/09/15,91.2,2023/09/15,1945.6
2023/09/13,32706.52,2023/09/14,34907.11,2023/09/14,460.86,2023/09/08,3116.7191,2023/09/14,12.82,2023/09/15,147.82,2023/09/15,157.6,2023/09/14,7.277,2023/09/14,0.711,2023/09/14,4.29,2023/09/14,90.69,2023/09/14,1932.5
2023/09/12,32776.37,2023/09/13,34575.53,2023/09/13,453.94,2023/09/07,3122.3523,2023/09/13,13.48,2023/09/14,147.47,2023/09/14,156.94,2023/09/13,7.27,2023/09/13,0.71,2023/09/13,4.248,2023/09/13,88.85,2023/09/13,1930.6
2023/09/11,32467.76,2023/09/12,34645.99,2023/09/12,455.4,2023/09/06,3158.0769,2023/09/12,14.23,2023/09/13,147.45,2023/09/13,158.21,2023/09/12,7.291,2023/09/12,0.71,2023/09/12,4.264,2023/09/12,88.78,2023/09/12,1936.1
2023/09/08,32606.84,2023/09/11,34663.72,2023/09/11,456.21,2023/09/05,3154.3693,2023/09/11,13.8,2023/09/12,147.08,2023/09/12,158.15,2023/09/11,7.2882,2023/09/11,0.706,2023/09/11,4.288,2023/09/11,87.31,2023/09/11,1945.3
2023/09/07,32991.08,2023/09/08,34576.59,2023/09/08,454.66,2023/09/04,3177.0603,2023/09/08,13.84,2023/09/11,146.58,2023/09/11,157.56,2023/09/08,7.343,2023/09/08,0.647,2023/09/08,4.256,2023/09/08,87.23,2023/09/08,1942.6
2023/09/06,33241.02,2023/09/07,34500.73,2023/09/07,453.67,2023/09/01,3133.2467,2023/09/07,14.4,2023/09/08,147.81,2023/09/08,158.16,2023/09/07,7.3287,2023/09/07,0.66,2023/09/07,4.262,2023/09/07,86.77,2023/09/07,1944.0
2023/09/05,33036.76,2023/09/06,34443.19,2023/09/06,454.3,2023/08/31,3119.8764,2023/09/06,14.45,2023/09/07,147.29,2023/09/07,157.55,2023/09/06,7.316,2023/09/06,0.656,2023/09/06,4.29,2023/09/06,87.58,2023/09/06,1941.8
2023/09/04,32939.18,2023/09/05,34641.97,2023/09/05,456.9,2023/08/30,3137.1375,2023/09/05,14.01,2023/09/06,147.65,2023/09/06,158.38,2023/09/05,7.304,2023/09/05,0.656,2023/09/05,4.268,2023/09/05,86.74,2023/09/05,1951.5
2023/09/01,32710.62,2023/09/01,34837.71,2023/09/04,457.96,2023/08/29,3135.8867,2023/09/04,13.82,2023/09/05,147.71,2023/09/05,158.39,2023/09/04,7.2723,2023/09/04,0.642,2023/09/01,4.173,2023/09/01,86.05,2023/09/01,1966.2
2023/08/31,32619.34,2023/08/31,34721.91,2023/09/01,458.13,2023/08/28,3098.6363,2023/09/01,13.09,2023/09/04,146.46,2023/09/04,158.12,2023/09/01,7.2606,2023/09/01,0.632,2023/08/31,4.091,2023/08/31,83.58,2023/08/31,1966.6
2023/08/30,32333.46,2023/08/30,34890.24,2023/08/31,458.19,2023/08/25,3064.0747,2023/08/31,13.57,2023/09/01,146.23,2023/09/01,157.56,2023/08/31,7.2582,2023/08/31,0.651,2023/08/30,4.118,2023/08/30,81.71,2023/08/30,1970.4
2023/08/29,32226.97,2023/08/29,34852.67,2023/08/30,459.13,2023/08/24,3082.2439,2023/08/30,13.88,2023/08/31,145.53,2023/08/31,157.8,2023/08/30,7.2839,2023/08/30,0.656,2023/08/29,4.122,2023/08/29,81.32,2023/08/29,1965.6
2023/08/28,32169.99,2023/08/28,34559.98,2023/08/29,459.83,2023/08/23,3078.4021,2023/08/29,14.45,2023/08/30,146.24,2023/08/30,159.74,2023/08/29,7.2796,2023/08/29,0.646,2023/08/28,4.212,2023/08/28,79.97,2023/08/28,1948.0
2023/08/25,31624.28,2023/08/25,34346.9,2023/08/28,455.41,2023/08/22,3120.3338,2023/08/28,15.08,2023/08/29,145.87,2023/08/29,158.71,2023/08/28,7.29,2023/08/28,0.666,2023/08/25,4.239,2023/08/25,80.05,2023/08/25,1943.3
2023/08/24,32287.21,2023/08/24,34099.42,2023/08/25,451.39,2023/08/21,3092.9777,2023/08/25,15.68,2023/08/28,146.54,2023/08/28,158.51,2023/08/25,7.289,2023/08/25,0.657,2023/08/24,4.235,2023/08/24,78.88,2023/08/24,1944.7
2023/08/23,32010.26,2023/08/23,34472.98,2023/08/24,451.57,2023/08/18,3131.953,2023/08/24,17.2,2023/08/25,146.41,2023/08/25,158.07,2023/08/24,7.2786,2023/08/24,0.651,2023/08/23,4.198,2023/08/23,78.56,2023/08/23,1945.0
