,日経平均,,NYダウ,,欧州（ストックス600）,,中国（上海総合）,,VIX指数（米国株の予想変動率）,,ドル/円,,ユーロ/円,,ドル/元,,日本,,米国,,原油（WTI）,,金（米先物）
↓,41.83999999999651,↑,47.37000000000262,↑,0.020000000000038654,↑,57.31880000000001,↓,0.4499999999999993,↑円高,0.6899999999999977,↑円高,1.25,↑元高,0.00990000000000002,↓,0.0010000000000000009,↓,0.010100000000000442,↓,0.020000000000010232,↑,8.599999999999909
2024/02/29,39166.19,2024/02/29,38996.39,2024/02/29,494.61,2024/02/29,3015.1712,2024/02/29,13.39,2024/02/29,149.98,2024/02/29,162.06,2024/02/29,7.1877,2024/02/29,0.714,2024/02/29,4.2639,2024/02/29,78.27,2024/02/29,2052.1
2024/02/28,39208.03,2024/02/28,38949.02,2024/02/28,494.59,2024/02/28,2957.8524,2024/02/28,13.84,2024/02/28,150.67,2024/02/28,163.31,2024/02/28,7.1976,2024/02/29,0.715,2024/02/28,4.274,2024/02/28,78.29,2024/02/28,2043.5
2024/02/27,39239.52,2024/02/27,38972.41,2024/02/27,496.33,2024/02/27,3015.4807,2024/02/27,13.43,2024/02/27,150.5,2024/02/27,163.21,2024/02/27,7.1977,2024/02/28,0.7,2024/02/27,4.315,2024/02/27,78.52,2024/02/27,2039.4
2024/02/26,39233.71,2024/02/26,39069.23,2024/02/26,495.43,2024/02/26,2977.0221,2024/02/26,13.74,2024/02/26,150.69,2024/02/26,163.52,2024/02/26,7.1971,2024/02/27,0.691,2024/02/26,4.299,2024/02/26,77.6,2024/02/26,2040.9
2024/02/22,39098.68,2024/02/23,39131.53,2024/02/23,497.25,2024/02/23,3004.881,2024/02/23,13.75,2024/02/23,150.5,2024/02/23,162.87,2024/02/23,7.1952,2024/02/26,0.687,2024/02/23,4.26,2024/02/23,76.57,2024/02/23,2045.8
2024/02/21,38262.16,2024/02/22,39069.11,2024/02/22,495.1,2024/02/22,2988.3578,2024/02/22,14.54,2024/02/22,150.51,2024/02/22,162.93,2024/02/22,7.1944,2024/02/22,0.716,2024/02/22,4.327,2024/02/22,78.34,2024/02/22,2034.3
2024/02/20,38363.61,2024/02/21,38612.24,2024/02/21,491.05,2024/02/21,2950.9556,2024/02/21,15.34,2024/02/21,150.28,2024/02/21,162.62,2024/02/21,7.1891,2024/02/21,0.726,2024/02/21,4.323,2024/02/21,78.06,2024/02/21,2036.8
2024/02/19,38470.38,2024/02/20,38563.8,2024/02/20,491.9,2024/02/20,2922.7302,2024/02/20,15.42,2024/02/20,149.99,2024/02/20,162.11,2024/02/20,7.1905,2024/02/20,0.731,2024/02/20,4.275,2024/02/20,78.27,2024/02/20,2036.0
2024/02/16,38487.24,2024/02/16,38627.99,2024/02/19,492.39,2024/02/19,2910.544,2024/02/19,14.71,2024/02/19,150.11,2024/02/19,161.82,2024/02/19,7.1975,2024/02/19,0.731,2024/02/16,4.295,2024/02/16,79.22,2024/02/16,2025.5
2024/02/15,38157.94,2024/02/15,38773.12,2024/02/16,491.59,2024/02/08,2865.9032,2024/02/16,14.24,2024/02/16,150.21,2024/02/16,161.86,2024/02/16,7.1929,2024/02/16,0.731,2024/02/15,4.24,2024/02/15,78.07,2024/02/15,2016.1
2024/02/14,37703.32,2024/02/14,38424.27,2024/02/15,488.54,2024/02/07,2829.6956,2024/02/15,14.01,2024/02/15,149.91,2024/02/15,161.49,2024/02/15,7.1929,2024/02/15,0.729,2024/02/14,4.267,2024/02/14,76.56,2024/02/14,2005.0
2024/02/13,37963.97,2024/02/13,38272.75,2024/02/14,485.24,2024/02/06,2789.486,2024/02/14,14.38,2024/02/14,150.55,2024/02/14,161.54,2024/02/14,7.1929,2024/02/14,0.756,2024/02/13,4.316,2024/02/13,77.77,2024/02/13,2006.0
2024/02/09,36897.42,2024/02/12,38797.38,2024/02/13,482.83,2024/02/05,2702.185,2024/02/13,15.85,2024/02/13,150.79,2024/02/13,161.47,2024/02/13,7.1929,2024/02/13,0.725,2024/02/12,4.17,2024/02/12,76.94,2024/02/12,2033.8
2024/02/08,36863.28,2024/02/09,38671.69,2024/02/12,487.46,2024/02/02,2730.152,2024/02/12,13.93,2024/02/12,149.34,2024/02/12,160.88,2024/02/12,7.1929,2024/02/09,0.721,2024/02/09,4.187,2024/02/09,76.6,2024/02/09,2038.7
2024/02/07,36119.92,2024/02/08,38726.33,2024/02/09,484.83,2024/02/01,2770.7403,2024/02/09,12.93,2024/02/09,149.3,2024/02/09,160.98,2024/02/09,7.1929,2024/02/08,0.697,2024/02/08,4.17,2024/02/08,76.46,2024/02/08,2049.7
2024/02/06,36160.66,2024/02/07,38677.36,2024/02/08,485.27,2024/01/31,2788.5482,2024/02/08,12.79,2024/02/08,149.31,2024/02/08,160.91,2024/02/08,7.1965,2024/02/07,0.706,2024/02/07,4.108,2024/02/07,74.08,2024/02/07,2050.9
2024/02/05,36354.16,2024/02/06,38521.36,2024/02/07,485.63,2024/01/30,2830.5266,2024/02/07,12.83,2024/02/07,148.18,2024/02/07,159.6,2024/02/07,7.1942,2024/02/06,0.719,2024/02/06,4.092,2024/02/06,73.45,2024/02/06,2052.5
