,日経平均,,NYダウ,,欧州（ストックス600）,,中国（上海総合）,,VIX指数（米国株の予想変動率）,,ドル/円,,ユーロ/円,,ドル/元,,日本,,米国,,原油（WTI）,,金（米先物）
↑,94.61999999999898,↓,50.55999999999767,↓,4.240000000000009,↑,2.7648999999996704,→,0.0,↑円高,0.6500000000000057,↑円高,0.010000000000019327,↓元安,0.007200000000000095,↓,0.0010000000000000009,↓,0.1257999999999999,↓,3.3299999999999983,↑,12.800000000000182
2023/05/30,31328.16,2023/05/30,33042.78,2023/05/30,456.63,2023/05/30,3224.2133,2023/05/30,17.46,2023/05/30,139.79,2023/05/30,150.04,2023/05/30,7.0792,2023/05/30,0.435,2023/05/30,3.6942,2023/05/30,69.54,2023/05/30,1958.9
2023/05/29,31233.54,2023/05/26,33093.34,2023/05/29,460.87,2023/05/29,3221.4484,2023/05/29,17.46,2023/05/29,140.44,2023/05/30,150.05,2023/05/29,7.072,2023/05/30,0.436,2023/05/26,3.82,2023/05/26,72.87,2023/05/26,1946.1
2023/05/26,30916.31,2023/05/25,32764.65,2023/05/26,461.41,2023/05/26,3212.5038,2023/05/26,17.95,2023/05/26,140.62,2023/05/29,150.37,2023/05/26,7.063,2023/05/29,0.435,2023/05/25,3.815,2023/05/25,71.81,2023/05/25,1941.7
2023/05/25,30801.13,2023/05/24,32799.92,2023/05/25,456.18,2023/05/25,3201.2605,2023/05/25,19.14,2023/05/25,140.05,2023/05/26,150.83,2023/05/25,7.0782,2023/05/26,0.421,2023/05/24,3.719,2023/05/24,74.22,2023/05/24,1959.3
2023/05/24,30682.68,2023/05/23,33055.51,2023/05/24,457.65,2023/05/24,3204.7494,2023/05/24,20.03,2023/05/24,139.46,2023/05/25,150.22,2023/05/24,7.0593,2023/05/25,0.427,2023/05/23,3.698,2023/05/23,73.78,2023/05/23,1977.5
2023/05/23,30957.77,2023/05/22,33286.58,2023/05/23,466.1,2023/05/23,3246.238,2023/05/23,18.53,2023/05/23,138.58,2023/05/24,149.91,2023/05/23,7.0556,2023/05/24,0.406,2023/05/22,3.719,2023/05/22,71.81,2023/05/22,1973.7
2023/05/22,31086.82,2023/05/19,33426.63,2023/05/22,468.91,2023/05/22,3296.4696,2023/05/22,17.21,2023/05/22,138.6,2023/05/23,149.25,2023/05/22,7.0351,2023/05/23,0.398,2023/05/19,3.692,2023/05/19,71.67,2023/05/19,1979.9
2023/05/19,30808.35,2023/05/18,33535.91,2023/05/19,468.85,2023/05/19,3283.5417,2023/05/19,16.81,2023/05/19,137.95,2023/05/22,149.85,2023/05/19,7.006,2023/05/22,0.387,2023/05/18,3.648,2023/05/18,71.92,2023/05/18,1960.3
2023/05/18,30573.93,2023/05/17,33420.77,2023/05/18,465.79,2023/05/18,3297.3199,2023/05/18,16.05,2023/05/18,138.71,2023/05/19,149.03,2023/05/18,7.035,2023/05/19,0.401,2023/05/17,3.581,2023/05/17,72.67,2023/05/17,1985.7
2023/05/17,30093.59,2023/05/16,33012.14,2023/05/17,463.98,2023/05/17,3284.232,2023/05/17,16.87,2023/05/17,137.67,2023/05/18,149.37,2023/05/17,6.998,2023/05/18,0.386,2023/05/16,3.549,2023/05/16,70.53,2023/05/16,1993.2
2023/05/16,29842.99,2023/05/15,33348.6,2023/05/16,464.7,2023/05/16,3290.9874,2023/05/16,17.99,2023/05/16,136.37,2023/05/17,149.22,2023/05/16,6.9786,2023/05/17,0.361,2023/05/15,3.508,2023/05/15,71.3,2023/05/15,2021.4
