,日経平均,,NYダウ,,欧州（ストックス600）,,中国（上海総合）,,VIX指数（米国株の予想変動率）,,ドル/円,,ユーロ/円,,ドル/元,,日本,,米国,,原油（WTI）,,金（米先物）
↑,258.5499999999993,↑,415.1200000000026,↑,3.0,↑,11.611699999999928,↓,0.3200000000000003,↓円安,0.13999999999998636,↑円高,0.7299999999999898,↑元高,0.0034000000000000696,↑,0.010000000000000009,↓,0.0777000000000001,↑,1.3299999999999983,↓,11.0
2023/03/31,28041.48,2023/03/31,33274.15,2023/03/31,457.84,2023/03/31,3272.8602,2023/03/31,18.7,2023/03/31,132.79,2023/03/31,143.97,2023/03/31,6.8676,2023/03/31,0.334,2023/03/31,3.4733,2023/03/31,75.7,2023/03/31,1987.0
2023/03/30,27782.93,2023/03/30,32859.03,2023/03/30,454.84,2023/03/30,3261.2485,2023/03/30,19.02,2023/03/30,132.65,2023/03/30,144.7,2023/03/30,6.871,2023/03/31,0.324,2023/03/30,3.551,2023/03/30,74.37,2023/03/30,1998.0
2023/03/29,27883.78,2023/03/29,32717.6,2023/03/29,450.21,2023/03/29,3240.0568,2023/03/29,19.12,2023/03/29,132.84,2023/03/29,144.05,2023/03/29,6.8862,2023/03/30,0.321,2023/03/29,3.566,2023/03/29,72.81,2023/03/29,1966.2
2023/03/28,27518.25,2023/03/28,32394.25,2023/03/28,444.45,2023/03/28,3245.376,2023/03/28,19.97,2023/03/28,130.86,2023/03/28,141.92,2023/03/28,6.8745,2023/03/29,0.3,2023/03/28,3.568,2023/03/28,73.58,2023/03/28,1975.3
2023/03/27,27476.87,2023/03/27,32432.08,2023/03/27,444.72,2023/03/27,3251.3971,2023/03/27,20.6,2023/03/27,131.56,2023/03/27,142.05,2023/03/27,6.8834,2023/03/28,0.319,2023/03/27,3.528,2023/03/27,72.89,2023/03/27,1957.7
2023/03/24,27385.25,2023/03/24,32237.53,2023/03/24,440.11,2023/03/24,3265.6537,2023/03/24,21.74,2023/03/24,130.69,2023/03/24,140.6,2023/03/24,6.8675,2023/03/27,0.293,2023/03/24,3.378,2023/03/24,69.2,2023/03/24,1981.0
2023/03/23,27419.61,2023/03/23,32105.25,2023/03/23,446.22,2023/03/23,3286.6491,2023/03/23,22.61,2023/03/23,130.81,2023/03/23,141.73,2023/03/23,6.8188,2023/03/24,0.286,2023/03/23,3.404,2023/03/23,69.47,2023/03/23,1996.1
2023/03/22,27466.61,2023/03/22,32030.11,2023/03/22,447.16,2023/03/22,3265.7475,2023/03/22,22.26,2023/03/22,131.44,2023/03/22,142.67,2023/03/22,6.8802,2023/03/23,0.3,2023/03/22,3.5,2023/03/22,69.92,2023/03/22,1973.4
2023/03/20,26945.67,2023/03/21,32560.6,2023/03/21,446.47,2023/03/21,3255.6505,2023/03/21,21.38,2023/03/21,132.49,2023/03/21,142.67,2023/03/21,6.883,2023/03/22,0.327,2023/03/21,3.606,2023/03/21,69.5,2023/03/21,1943.6
2023/03/17,27333.79,2023/03/20,32244.58,2023/03/20,440.6,2023/03/20,3234.9103,2023/03/20,24.15,2023/03/20,131.31,2023/03/20,140.82,2023/03/20,6.877,2023/03/20,0.25,2023/03/20,3.477,2023/03/20,67.61,2023/03/20,1982.8
2023/03/16,27010.61,2023/03/17,31861.98,2023/03/17,436.31,2023/03/17,3250.546,2023/03/17,25.51,2023/03/17,131.79,2023/03/17,140.62,2023/03/17,6.885,2023/03/17,0.28,2023/03/17,3.397,2023/03/17,66.34,2023/03/17,1993.7
2023/03/15,27229.48,2023/03/16,32246.55,2023/03/16,441.64,2023/03/16,3226.8912,2023/03/16,22.99,2023/03/16,133.72,2023/03/16,141.91,2023/03/16,6.8965,2023/03/16,0.288,2023/03/16,3.583,2023/03/16,68.24,2023/03/16,1923.8
2023/03/14,27222.04,2023/03/15,31874.57,2023/03/15,436.45,2023/03/15,3263.3148,2023/03/15,26.14,2023/03/15,133.4,2023/03/15,141.1,2023/03/15,6.9067,2023/03/15,0.323,2023/03/15,3.494,2023/03/15,68.23,2023/03/15,1923.3
2023/03/13,27832.96,2023/03/14,32155.4,2023/03/14,449.56,2023/03/14,3245.3123,2023/03/14,23.73,2023/03/14,134.22,2023/03/14,144.04,2023/03/14,6.868,2023/03/14,0.276,2023/03/14,3.636,2023/03/14,71.48,2023/03/14,1908.3
2023/03/10,28143.97,2023/03/13,31819.14,2023/03/13,442.8,2023/03/13,3268.6955,2023/03/13,26.52,2023/03/13,133.18,2023/03/13,142.93,2023/03/13,6.8455,2023/03/13,0.311,2023/03/13,3.515,2023/03/13,74.69,2023/03/13,1918.9
2023/03/09,28623.15,2023/03/10,31909.64,2023/03/10,453.76,2023/03/10,3230.0766,2023/03/10,24.8,2023/03/10,134.98,2023/03/10,143.7,2023/03/10,6.9025,2023/03/10,0.392,2023/03/10,3.695,2023/03/10,76.68,2023/03/10,1872.7
2023/03/08,28444.19,2023/03/09,32254.86,2023/03/09,459.98,2023/03/09,3276.0937,2023/03/09,22.61,2023/03/09,136.14,2023/03/09,144.06,2023/03/09,6.963,2023/03/09,0.501,2023/03/09,3.923,2023/03/09,75.6,2023/03/09,1835.0
2023/03/07,28309.16,2023/03/08,32798.4,2023/03/08,460.99,2023/03/08,3283.2479,2023/03/08,19.11,2023/03/08,137.34,2023/03/08,144.82,2023/03/08,6.9496,2023/03/08,0.505,2023/03/08,3.976,2023/03/08,76.48,2023/03/08,1818.1
2023/03/06,28237.78,2023/03/07,32856.46,2023/03/07,460.6,2023/03/07,3285.0988,2023/03/07,19.59,2023/03/07,137.14,2023/03/07,144.68,2023/03/07,6.9605,2023/03/07,0.501,2023/03/07,3.975,2023/03/07,77.21,2023/03/07,1817.6
2023/03/03,27927.47,2023/03/06,33431.44,2023/03/06,464.18,2023/03/06,3322.0259,2023/03/06,18.61,2023/03/06,135.91,2023/03/06,145.17,2023/03/06,6.9295,2023/03/06,0.504,2023/03/06,3.983,2023/03/06,80.49,2023/03/06,1852.4
2023/03/02,27498.87,2023/03/03,33390.97,2023/03/03,464.26,2023/03/03,3328.3927,2023/03/03,18.49,2023/03/03,135.86,2023/03/03,144.46,2023/03/03,6.9048,2023/03/03,0.504,2023/03/03,3.963,2023/03/03,79.85,2023/03/03,1862.8
2023/03/01,27516.53,2023/03/02,33003.57,2023/03/02,460.02,2023/03/02,3310.6536,2023/03/02,19.59,2023/03/02,136.76,2023/03/02,144.92,2023/03/02,6.9122,2023/03/02,0.506,2023/03/02,4.073,2023/03/02,77.88,2023/03/02,1842.1
2023/02/28,27445.56,2023/03/01,32661.84,2023/03/01,457.68,2023/03/01,3312.3478,2023/03/01,20.58,2023/03/01,136.16,2023/03/01,145.29,2023/03/01,6.8656,2023/03/01,0.504,2023/03/01,3.996,2023/03/01,77.72,2023/03/01,1843.6
2023/02/27,27423.96,2023/02/28,32656.7,2023/02/28,461.11,2023/02/28,3279.6053,2023/02/28,20.7,2023/02/28,136.2,2023/02/28,144.06,2023/02/28,6.9325,2023/02/28,0.501,2023/02/28,3.914,2023/02/28,76.84,2023/02/28,1833.8
2023/02/24,27453.48,2023/02/27,32889.09,2023/02/27,462.58,2023/02/27,3258.0344,2023/02/27,20.95,2023/02/27,136.2,2023/02/27,144.51,2023/02/27,6.943,2023/02/27,0.502,2023/02/27,3.922,2023/02/27,75.76,2023/02/27,1824.2
2023/02/22,27104.32,2023/02/24,32816.92,2023/02/24,457.7,2023/02/24,3267.1597,2023/02/24,21.67,2023/02/24,136.46,2023/02/24,143.93,2023/02/24,6.9545,2023/02/24,0.5,2023/02/24,3.949,2023/02/24,76.45,2023/02/24,1818.0
2023/02/21,27473.1,2023/02/23,33153.91,2023/02/23,462.5,2023/02/23,3287.477,2023/02/23,21.14,2023/02/23,134.7,2023/02/23,142.7,2023/02/23,6.9075,2023/02/22,0.504,2023/02/23,3.881,2023/02/23,75.65,2023/02/23,1829.6
2023/02/20,27531.94,2023/02/22,33045.09,2023/02/22,462.22,2023/02/22,3291.1477,2023/02/22,22.29,2023/02/22,134.9,2023/02/22,143.1,2023/02/22,6.8908,2023/02/21,0.505,2023/02/22,3.923,2023/02/22,73.85,2023/02/22,1834.2
2023/02/17,27513.13,2023/02/21,33129.59,2023/02/21,463.77,2023/02/21,3306.5236,2023/02/21,22.87,2023/02/21,134.99,2023/02/21,143.77,2023/02/21,6.87,2023/02/20,0.5,2023/02/21,3.953,2023/02/21,76.05,2023/02/21,1844.0
2023/02/16,27696.44,2023/02/17,33826.69,2023/02/20,464.64,2023/02/20,3290.3383,2023/02/20,21.23,2023/02/20,134.23,2023/02/20,143.46,2023/02/20,6.8541,2023/02/17,0.501,2023/02/17,3.828,2023/02/17,76.33,2023/02/17,1851.3
