,日経平均,,NYダウ,,欧州（ストックス600）,,中国（上海総合）,,VIX指数（米国株の予想変動率）,,ドル/円,,ユーロ/円,,ドル/元,,日本,,米国,,原油（WTI）,,金（米先物）
↑,204.25999999999476,↓,198.77999999999884,↓,2.599999999999966,↑,3.707600000000184,↑,0.4399999999999995,↑円高,0.060000000000002274,↑円高,0.04999999999998295,↓元安,0.011999999999999567,↑,0.0030000000000000027,↑,0.027600000000000513,↑,0.8400000000000034,↓,9.700000000000045
2023/09/06,33241.02,2023/09/06,34443.19,2023/09/06,454.3,2023/09/06,3158.0769,2023/09/06,14.45,2023/09/06,147.59,2023/09/06,158.33,2023/09/06,7.316,2023/09/06,0.659,2023/09/06,4.2956,2023/09/06,87.58,2023/09/06,1941.8
2023/09/05,33036.76,2023/09/05,34641.97,2023/09/05,456.9,2023/09/05,3154.3693,2023/09/05,14.01,2023/09/06,147.65,2023/09/06,158.38,2023/09/05,7.304,2023/09/06,0.656,2023/09/05,4.268,2023/09/05,86.74,2023/09/05,1951.5
2023/09/04,32939.18,2023/09/01,34837.71,2023/09/04,457.96,2023/09/04,3177.0603,2023/09/04,13.82,2023/09/05,147.71,2023/09/05,158.39,2023/09/04,7.2723,2023/09/05,0.656,2023/09/01,4.173,2023/09/01,86.05,2023/09/01,1966.2
2023/09/01,32710.62,2023/08/31,34721.91,2023/09/01,458.13,2023/09/01,3133.2467,2023/09/01,13.09,2023/09/04,146.46,2023/09/04,158.12,2023/09/01,7.2606,2023/09/04,0.642,2023/08/31,4.091,2023/08/31,83.58,2023/08/31,1966.6
2023/08/31,32619.34,2023/08/30,34890.24,2023/08/31,458.19,2023/08/31,3119.8764,2023/08/31,13.57,2023/09/01,146.23,2023/09/01,157.56,2023/08/31,7.2582,2023/09/01,0.632,2023/08/30,4.118,2023/08/30,81.71,2023/08/30,1970.4
2023/08/30,32333.46,2023/08/29,34852.67,2023/08/30,459.13,2023/08/30,3137.1375,2023/08/30,13.88,2023/08/31,145.53,2023/08/31,157.8,2023/08/30,7.2839,2023/08/31,0.651,2023/08/29,4.122,2023/08/29,81.32,2023/08/29,1965.6
2023/08/29,32226.97,2023/08/28,34559.98,2023/08/29,459.83,2023/08/29,3135.8867,2023/08/29,14.45,2023/08/30,146.24,2023/08/30,159.74,2023/08/29,7.2796,2023/08/30,0.656,2023/08/28,4.212,2023/08/28,79.97,2023/08/28,1948.0
2023/08/28,32169.99,2023/08/25,34346.9,2023/08/28,455.41,2023/08/28,3098.6363,2023/08/28,15.08,2023/08/29,145.87,2023/08/29,158.71,2023/08/28,7.29,2023/08/29,0.646,2023/08/25,4.239,2023/08/25,80.05,2023/08/25,1943.3
2023/08/25,31624.28,2023/08/24,34099.42,2023/08/25,451.39,2023/08/25,3064.0747,2023/08/25,15.68,2023/08/28,146.54,2023/08/28,158.51,2023/08/25,7.289,2023/08/28,0.666,2023/08/24,4.235,2023/08/24,78.88,2023/08/24,1944.7
2023/08/24,32287.21,2023/08/23,34472.98,2023/08/24,451.57,2023/08/24,3082.2439,2023/08/24,17.2,2023/08/25,146.41,2023/08/25,158.07,2023/08/24,7.2786,2023/08/25,0.657,2023/08/23,4.198,2023/08/23,78.56,2023/08/23,1945.0
2023/08/23,32010.26,2023/08/22,34288.83,2023/08/23,453.45,2023/08/23,3078.4021,2023/08/23,15.98,2023/08/24,145.87,2023/08/24,157.64,2023/08/23,7.2771,2023/08/24,0.651,2023/08/22,4.328,2023/08/22,80.25,2023/08/22,1926.4
2023/08/22,31856.71,2023/08/21,34463.69,2023/08/22,451.7,2023/08/22,3120.3338,2023/08/22,16.97,2023/08/23,144.83,2023/08/23,157.33,2023/08/22,7.293,2023/08/23,0.678,2023/08/21,4.342,2023/08/21,80.9,2023/08/21,1924.0
2023/08/21,31565.64,2023/08/18,34500.66,2023/08/21,448.66,2023/08/21,3092.9777,2023/08/21,17.13,2023/08/22,145.88,2023/08/22,158.22,2023/08/21,7.2865,2023/08/22,0.67,2023/08/18,4.251,2023/08/18,81.4,2023/08/18,1918.4
2023/08/18,31450.76,2023/08/17,34474.83,2023/08/18,448.44,2023/08/18,3131.953,2023/08/18,17.3,2023/08/21,146.17,2023/08/21,159.29,2023/08/18,7.28,2023/08/21,0.652,2023/08/17,4.308,2023/08/17,80.06,2023/08/17,1918.9
2023/08/17,31626.0,2023/08/16,34765.74,2023/08/17,451.19,2023/08/17,3163.7393,2023/08/17,17.89,2023/08/18,145.37,2023/08/18,158.03,2023/08/17,7.291,2023/08/18,0.63,2023/08/16,4.258,2023/08/16,79.26,2023/08/16,1922.1
2023/08/16,31766.82,2023/08/15,34946.39,2023/08/16,455.29,2023/08/16,3150.1277,2023/08/16,16.78,2023/08/17,145.83,2023/08/17,158.53,2023/08/16,7.2981,2023/08/17,0.651,2023/08/15,4.221,2023/08/15,81.08,2023/08/15,1933.3
2023/08/15,32238.89,2023/08/14,35307.63,2023/08/15,455.57,2023/08/15,3176.1758,2023/08/15,16.46,2023/08/16,146.35,2023/08/16,159.19,2023/08/15,7.2817,2023/08/16,0.63,2023/08/14,4.182,2023/08/14,82.47,2023/08/14,1939.1
