,日経平均,,NYダウ,,欧州（ストックス600）,,中国（上海総合）,,VIX指数（米国株の予想変動率）,,ドル/円,,ユーロ/円,,ドル/元,,日本,,米国,,原油（WTI）,,金（米先物）
↑,178.40000000000146,↑,9.980000000003201,↑,0.8300000000000409,↓,6.789099999999962,↓,0.7199999999999989,↓円安,0.040000000000020464,↓円安,0.030000000000001137,↓元安,0.0031999999999996476,↓,0.0020000000000000018,↑,0.011200000000000099,↓,1.3999999999999915,↑,6.400000000000091
2024/08/27,38288.62,2024/08/27,41250.5,2024/08/27,518.88,2024/08/27,2848.7312,2024/08/27,15.43,2024/08/27,143.99,2024/08/27,161.03,2024/08/27,7.1244,2024/08/27,0.879,2024/08/27,3.8292,2024/08/27,75.76,2024/08/27,2560.0
2024/08/26,38110.22,2024/08/26,41240.52,2024/08/26,518.05,2024/08/26,2855.5203,2024/08/26,16.15,2024/08/27,143.95,2024/08/27,161.0,2024/08/26,7.1212,2024/08/27,0.881,2024/08/26,3.818,2024/08/26,77.16,2024/08/26,2553.6
2024/08/23,38364.27,2024/08/23,41175.08,2024/08/23,518.13,2024/08/23,2854.3675,2024/08/23,15.86,2024/08/26,144.52,2024/08/26,161.29,2024/08/23,7.1244,2024/08/26,0.881,2024/08/23,3.807,2024/08/23,74.96,2024/08/23,2548.7
2024/08/22,38211.01,2024/08/22,40712.78,2024/08/22,515.74,2024/08/22,2848.7718,2024/08/22,17.55,2024/08/23,144.37,2024/08/23,161.57,2024/08/22,7.144,2024/08/23,0.895,2024/08/22,3.862,2024/08/22,72.98,2024/08/22,2520.6
2024/08/21,37951.8,2024/08/21,40890.49,2024/08/21,513.95,2024/08/21,2856.5839,2024/08/21,16.27,2024/08/22,146.26,2024/08/22,162.54,2024/08/21,7.1344,2024/08/22,0.875,2024/08/21,3.776,2024/08/21,71.94,2024/08/21,2550.2
2024/08/20,38062.92,2024/08/20,40834.97,2024/08/20,512.27,2024/08/20,2866.661,2024/08/20,15.88,2024/08/21,145.26,2024/08/21,161.94,2024/08/20,7.132,2024/08/21,0.871,2024/08/20,3.818,2024/08/20,73.82,2024/08/20,2552.1
2024/08/19,37388.62,2024/08/19,40896.53,2024/08/19,514.59,2024/08/19,2893.6738,2024/08/19,14.65,2024/08/20,145.25,2024/08/20,161.66,2024/08/19,7.1393,2024/08/20,0.89,2024/08/19,3.867,2024/08/19,74.44,2024/08/19,2542.6
2024/08/16,38062.67,2024/08/16,40659.76,2024/08/16,511.45,2024/08/16,2879.4298,2024/08/16,14.8,2024/08/19,146.57,2024/08/19,162.48,2024/08/16,7.1644,2024/08/19,0.891,2024/08/16,3.892,2024/08/16,76.6,2024/08/16,2546.2
2024/08/15,36726.64,2024/08/15,40563.06,2024/08/15,509.88,2024/08/15,2877.3579,2024/08/15,15.23,2024/08/16,147.58,2024/08/16,162.77,2024/08/15,7.1734,2024/08/16,0.876,2024/08/15,3.926,2024/08/15,78.09,2024/08/15,2494.5
2024/08/14,36442.43,2024/08/14,40008.39,2024/08/14,504.1,2024/08/14,2850.6539,2024/08/14,16.19,2024/08/15,149.27,2024/08/15,163.78,2024/08/14,7.1382,2024/08/15,0.838,2024/08/14,3.822,2024/08/14,77.22,2024/08/14,2486.0
2024/08/13,36232.51,2024/08/13,39765.64,2024/08/13,501.66,2024/08/13,2867.946,2024/08/13,18.12,2024/08/14,147.31,2024/08/14,162.22,2024/08/13,7.1551,2024/08/14,0.814,2024/08/13,3.854,2024/08/13,78.66,2024/08/13,2504.9
2024/08/09,35025.0,2024/08/12,39357.01,2024/08/12,499.08,2024/08/12,2858.2046,2024/08/12,20.71,2024/08/13,146.82,2024/08/13,161.4,2024/08/12,7.1744,2024/08/13,0.844,2024/08/12,3.909,2024/08/12,79.66,2024/08/12,2513.4
2024/08/08,34831.15,2024/08/09,39497.54,2024/08/09,499.19,2024/08/09,2862.1941,2024/08/09,20.37,2024/08/12,147.19,2024/08/12,160.89,2024/08/09,7.166,2024/08/09,0.858,2024/08/09,3.942,2024/08/09,76.98,2024/08/09,2470.6
2024/08/07,35089.62,2024/08/08,39446.49,2024/08/08,496.37,2024/08/08,2869.9014,2024/08/08,23.79,2024/08/09,146.61,2024/08/09,160.03,2024/08/08,7.1747,2024/08/08,0.836,2024/08/08,3.997,2024/08/08,76.09,2024/08/08,2467.4
