,日経平均,,NYダウ,,欧州（ストックス600）,,中国（上海総合）,,VIX指数（米国株の予想変動率）,,ドル/円,,ユーロ/円,,ドル/元,,日本,,米国,,原油（WTI）,,金（米先物）
↑,285.880000000001,↓,168.32999999999447,↓,0.9399999999999977,↓,17.261099999999715,↓,0.3100000000000005,↑円高,0.030000000000001137,↑円高,0.05000000000001137,↑元高,0.025699999999999612,↓,0.009000000000000008,↓,0.011800000000000033,↑,1.8700000000000045,↓,3.800000000000182
2023/08/31,32619.34,2023/08/31,34721.91,2023/08/31,458.19,2023/08/31,3119.8764,2023/08/31,13.57,2023/08/31,145.5,2023/08/31,157.75,2023/08/31,7.2582,2023/08/31,0.642,2023/08/31,4.1062,2023/08/31,83.58,2023/08/31,1966.6
2023/08/30,32333.46,2023/08/30,34890.24,2023/08/30,459.13,2023/08/30,3137.1375,2023/08/30,13.88,2023/08/31,145.53,2023/08/31,157.8,2023/08/30,7.2839,2023/08/31,0.651,2023/08/30,4.118,2023/08/30,81.71,2023/08/30,1970.4
2023/08/29,32226.97,2023/08/29,34852.67,2023/08/29,459.83,2023/08/29,3135.8867,2023/08/29,14.45,2023/08/30,146.24,2023/08/30,159.74,2023/08/29,7.2796,2023/08/30,0.656,2023/08/29,4.122,2023/08/29,81.32,2023/08/29,1965.6
2023/08/28,32169.99,2023/08/28,34559.98,2023/08/28,455.41,2023/08/28,3098.6363,2023/08/28,15.08,2023/08/29,145.87,2023/08/29,158.71,2023/08/28,7.29,2023/08/29,0.646,2023/08/28,4.212,2023/08/28,79.97,2023/08/28,1948.0
2023/08/25,31624.28,2023/08/25,34346.9,2023/08/25,451.39,2023/08/25,3064.0747,2023/08/25,15.68,2023/08/28,146.54,2023/08/28,158.51,2023/08/25,7.289,2023/08/28,0.666,2023/08/25,4.239,2023/08/25,80.05,2023/08/25,1943.3
2023/08/24,32287.21,2023/08/24,34099.42,2023/08/24,451.57,2023/08/24,3082.2439,2023/08/24,17.2,2023/08/25,146.41,2023/08/25,158.07,2023/08/24,7.2786,2023/08/25,0.657,2023/08/24,4.235,2023/08/24,78.88,2023/08/24,1944.7
2023/08/23,32010.26,2023/08/23,34472.98,2023/08/23,453.45,2023/08/23,3078.4021,2023/08/23,15.98,2023/08/24,145.87,2023/08/24,157.64,2023/08/23,7.2771,2023/08/24,0.651,2023/08/23,4.198,2023/08/23,78.56,2023/08/23,1945.0
2023/08/22,31856.71,2023/08/22,34288.83,2023/08/22,451.7,2023/08/22,3120.3338,2023/08/22,16.97,2023/08/23,144.83,2023/08/23,157.33,2023/08/22,7.293,2023/08/23,0.678,2023/08/22,4.328,2023/08/22,80.25,2023/08/22,1926.4
2023/08/21,31565.64,2023/08/21,34463.69,2023/08/21,448.66,2023/08/21,3092.9777,2023/08/21,17.13,2023/08/22,145.88,2023/08/22,158.22,2023/08/21,7.2865,2023/08/22,0.67,2023/08/21,4.342,2023/08/21,80.9,2023/08/21,1924.0
