,日経平均,,NYダウ,,欧州（ストックス600）,,中国（上海総合）,,VIX指数（米国株の予想変動率）,,ドル/円,,ユーロ/円,,ドル/元,,日本,,米国,,原油（WTI）,,金（米先物）
↓,120.19999999999709,↓,497.5699999999997,↓,2.8799999999999955,↓,23.144700000000284,↑,1.7199999999999989,↑円高,0.19999999999998863,↑円高,1.1500000000000057,↓元安,0.04319999999999968,→,0.0,↓,0.019000000000000128,↑,0.18000000000000682,↓,14.799999999999955
2022/11/28,28162.83,2022/11/28,33849.46,2022/11/28,437.85,2022/11/28,3078.5485,2022/11/28,22.22,2022/11/28,138.9,2022/11/28,143.6,2022/11/28,7.2074,2022/11/28,0.251,2022/11/28,3.683,2022/11/28,76.73,2022/11/28,1740.2
2022/11/25,28283.03,2022/11/25,34347.03,2022/11/25,440.73,2022/11/25,3101.6932,2022/11/25,20.5,2022/11/25,139.1,2022/11/25,144.75,2022/11/25,7.1642,2022/11/25,0.251,2022/11/25,3.702,2022/11/25,76.55,2022/11/25,1755.0
2022/11/24,28383.09,2022/11/23,34194.06,2022/11/24,440.84,2022/11/24,3089.3096,2022/11/24,20.42,2022/11/24,138.61,2022/11/24,144.3,2022/11/24,7.15,2022/11/24,0.245,2022/11/23,3.709,2022/11/23,77.45,2022/11/23,1750.5
2022/11/22,28115.74,2022/11/22,34098.1,2022/11/23,438.82,2022/11/23,3096.9073,2022/11/23,20.35,2022/11/23,139.59,2022/11/23,145.11,2022/11/23,7.158,2022/11/22,0.246,2022/11/22,3.758,2022/11/22,81.1,2022/11/22,1740.8
2022/11/21,27944.79,2022/11/21,33700.28,2022/11/22,436.22,2022/11/22,3088.9426,2022/11/22,21.29,2022/11/22,141.24,2022/11/22,145.5,2022/11/22,7.1388,2022/11/21,0.246,2022/11/21,3.827,2022/11/21,79.74,2022/11/21,1739.5
2022/11/18,27899.77,2022/11/18,33745.69,2022/11/21,433.06,2022/11/21,3085.0444,2022/11/21,22.36,2022/11/21,142.12,2022/11/21,145.54,2022/11/21,7.164,2022/11/18,0.246,2022/11/18,3.818,2022/11/18,80.11,2022/11/18,1752.0
2022/11/17,27930.57,2022/11/17,33546.32,2022/11/18,433.33,2022/11/18,3097.2432,2022/11/18,23.12,2022/11/18,140.35,2022/11/18,144.92,2022/11/18,7.1192,2022/11/17,0.245,2022/11/17,3.773,2022/11/17,82.06,2022/11/17,1762.8
2022/11/16,28028.3,2022/11/16,33553.83,2022/11/17,428.38,2022/11/17,3115.4347,2022/11/17,23.93,2022/11/17,140.18,2022/11/17,145.29,2022/11/17,7.1551,2022/11/16,0.245,2022/11/16,3.694,2022/11/16,85.32,2022/11/16,1777.0
2022/11/15,27990.17,2022/11/15,33592.92,2022/11/16,430.17,2022/11/16,3119.9804,2022/11/16,24.11,2022/11/16,139.55,2022/11/16,145.02,2022/11/16,7.0849,2022/11/15,0.245,2022/11/15,3.799,2022/11/15,86.82,2022/11/15,1782.2
