,日経平均,,NYダウ,,欧州（ストックス600）,,中国（上海総合）,,VIX指数（米国株の予想変動率）,,ドル/円,,ユーロ/円,,ドル/元,,日本,,米国,,原油（WTI）,,金（米先物）
↑,323.1800000000003,↓,384.5699999999997,↓,5.329999999999984,↑,23.654799999999796,↑,2.520000000000003,↑円高,1.9300000000000068,↑円高,1.289999999999992,↑元高,0.011499999999999844,↑,0.01599999999999996,↓,0.14510000000000023,↓,1.8999999999999915,↑,69.90000000000009
2023/03/17,27333.79,2023/03/17,31861.98,2023/03/17,436.31,2023/03/17,3250.546,2023/03/17,25.51,2023/03/17,131.79,2023/03/17,140.62,2023/03/17,6.885,2023/03/17,0.296,2023/03/17,3.4379,2023/03/17,66.34,2023/03/17,1993.7
2023/03/16,27010.61,2023/03/16,32246.55,2023/03/16,441.64,2023/03/16,3226.8912,2023/03/16,22.99,2023/03/16,133.72,2023/03/16,141.91,2023/03/16,6.8965,2023/03/17,0.28,2023/03/16,3.583,2023/03/16,68.24,2023/03/16,1923.8
2023/03/15,27229.48,2023/03/15,31874.57,2023/03/15,436.45,2023/03/15,3263.3148,2023/03/15,26.14,2023/03/15,133.4,2023/03/15,141.1,2023/03/15,6.9067,2023/03/16,0.288,2023/03/15,3.494,2023/03/15,68.23,2023/03/15,1923.3
2023/03/14,27222.04,2023/03/14,32155.4,2023/03/14,449.56,2023/03/14,3245.3123,2023/03/14,23.73,2023/03/14,134.22,2023/03/14,144.04,2023/03/14,6.868,2023/03/15,0.328,2023/03/14,3.636,2023/03/14,71.48,2023/03/14,1908.3
2023/03/13,27832.96,2023/03/13,31819.14,2023/03/13,442.8,2023/03/13,3268.6955,2023/03/13,26.52,2023/03/13,133.18,2023/03/13,142.93,2023/03/13,6.8455,2023/03/14,0.276,2023/03/13,3.515,2023/03/13,74.69,2023/03/13,1918.9
2023/03/10,28143.97,2023/03/10,31909.64,2023/03/10,453.76,2023/03/10,3230.0766,2023/03/10,24.8,2023/03/10,134.98,2023/03/10,143.7,2023/03/10,6.9025,2023/03/13,0.311,2023/03/10,3.695,2023/03/10,76.68,2023/03/10,1872.7
2023/03/09,28623.15,2023/03/09,32254.86,2023/03/09,459.98,2023/03/09,3276.0937,2023/03/09,22.61,2023/03/09,136.14,2023/03/09,144.06,2023/03/09,6.963,2023/03/10,0.392,2023/03/09,3.923,2023/03/09,75.6,2023/03/09,1835.0
2023/03/08,28444.19,2023/03/08,32798.4,2023/03/08,460.99,2023/03/08,3283.2479,2023/03/08,19.11,2023/03/08,137.34,2023/03/08,144.82,2023/03/08,6.9496,2023/03/09,0.501,2023/03/08,3.976,2023/03/08,76.48,2023/03/08,1818.1
2023/03/07,28309.16,2023/03/07,32856.46,2023/03/07,460.6,2023/03/07,3285.0988,2023/03/07,19.59,2023/03/07,137.14,2023/03/07,144.68,2023/03/07,6.9605,2023/03/08,0.505,2023/03/07,3.975,2023/03/07,77.21,2023/03/07,1817.6
